Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Apr-08,Mandurah District,0,0,0,0,0,17,15,2,10,10,0,45,9,36,78,23,55,0,4,4,0,18,13,5,1,0,1,9,0,9,182,413,261,152,75,755,0,0,0,0,6,749,374,77,297,6,0,6,0,1623,1805,119,6,79,29,4,1,11,9,2,10,140,97,57,1,0,56,47,33,14,0,201
May-08,Mandurah District,0,0,0,0,0,14,11,3,12,12,0,43,14,29,89,26,58,5,7,5,2,19,13,6,4,0,4,9,0,9,197,400,295,105,69,771,0,0,0,0,5,766,329,43,286,15,0,15,0,1584,1781,151,14,96,39,2,0,17,17,0,11,179,70,46,0,0,46,62,33,22,7,178
Jun-08,Mandurah District,4,0,0,0,4,33,22,11,23,23,0,48,14,34,74,20,50,4,7,5,2,19,10,9,3,1,2,7,0,7,218,365,263,102,73,699,0,0,0,0,4,695,303,24,279,7,0,7,0,1447,1665,129,20,66,39,4,0,10,10,0,23,162,47,38,2,0,36,60,48,9,3,145
Jul-08,Mandurah District,0,0,0,0,0,26,15,11,10,9,1,47,8,39,62,18,39,5,5,4,1,13,7,6,2,0,2,8,0,8,173,364,251,113,67,731,0,0,0,0,3,728,312,28,284,10,0,10,0,1484,1657,164,21,84,46,13,0,22,21,1,21,207,45,35,1,0,34,50,39,9,2,130
Aug-08,Mandurah District,1,1,0,0,0,16,13,3,17,17,0,47,9,38,93,23,62,8,7,5,2,15,9,6,4,0,4,22,4,18,222,279,186,93,49,635,0,0,0,0,1,634,294,34,260,6,0,6,0,1263,1485,174,9,109,47,9,0,5,4,1,24,203,45,20,0,0,20,77,69,4,4,142
Sep-08,Mandurah District,2,0,0,0,2,37,34,3,2,2,0,46,9,37,100,26,64,10,7,6,1,25,14,11,3,0,3,13,2,11,235,236,148,88,52,591,0,0,0,0,8,583,292,27,265,12,0,12,0,1183,1418,169,13,93,53,10,0,15,12,3,21,205,72,36,1,0,35,70,56,8,6,178
Oct-08,Mandurah District,0,0,0,0,0,27,17,10,50,50,0,54,9,45,118,31,76,11,5,4,1,24,13,11,3,0,3,7,1,6,288,259,160,99,52,638,0,0,0,0,3,635,349,24,325,10,0,10,0,1308,1596,99,9,53,28,9,0,6,4,2,19,124,53,27,0,0,27,35,14,11,10,115
Nov-08,Mandurah District,0,0,0,0,0,10,9,1,11,11,0,61,12,49,111,37,66,8,6,5,1,24,16,8,6,0,6,10,2,8,239,234,136,98,57,555,0,0,0,0,5,550,332,25,307,11,1,10,0,1189,1428,102,4,60,29,9,0,11,10,1,22,135,84,39,0,0,39,32,19,4,9,155
Dec-08,Mandurah District,0,0,0,0,0,13,5,8,3,3,0,61,17,44,93,28,57,8,6,6,0,19,8,11,4,1,3,7,0,7,206,243,159,84,37,582,0,0,0,0,3,579,341,35,306,10,0,10,0,1213,1419,101,10,65,18,8,0,7,3,4,24,132,69,22,0,0,22,34,17,8,9,125
Jan-09,Mandurah District,2,1,0,0,1,28,24,4,3,3,0,56,12,44,122,35,78,9,4,4,0,15,10,5,0,0,0,5,1,4,235,255,179,76,57,721,0,0,0,0,4,717,326,28,298,18,11,7,0,1377,1612,80,5,55,15,5,0,17,16,1,2,99,122,33,1,0,32,57,37,16,4,212
