Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Apr-08,Great Southern District,0,0,0,0,0,2,1,1,0,0,0,17,7,10,29,9,17,3,2,1,1,6,4,2,0,0,0,3,0,3,59,70,37,33,6,143,0,0,0,0,5,138,90,10,80,3,0,3,0,312,371,79,5,43,25,5,1,2,0,2,4,85,6,5,1,0,4,12,3,5,4,23
May-08,Great Southern District,0,0,0,0,0,2,2,0,1,1,0,12,4,8,49,17,24,8,3,1,2,5,1,4,0,0,0,3,2,1,75,91,44,47,7,163,0,0,0,0,1,162,105,11,94,5,0,5,0,371,446,76,3,36,33,4,0,5,2,3,5,86,6,10,0,0,10,2,0,0,2,18
Jun-08,Great Southern District,1,0,0,1,0,3,2,1,7,7,0,26,9,17,27,6,16,5,2,2,0,8,8,0,0,0,0,3,0,3,77,61,32,29,8,123,0,0,0,0,3,120,104,10,94,2,0,2,0,298,375,85,12,40,28,5,0,4,3,1,11,100,12,2,0,0,2,13,10,3,0,27
Jul-08,Great Southern District,0,0,0,0,0,4,4,0,7,7,0,19,5,14,26,9,15,2,2,2,0,4,2,2,0,0,0,3,2,1,65,64,31,33,7,130,0,0,0,0,0,130,110,16,94,2,0,2,0,313,378,51,4,22,16,9,0,5,2,3,11,67,14,68,0,0,68,16,9,3,4,98
Aug-08,Great Southern District,0,0,0,0,0,9,6,3,2,2,0,15,4,11,45,10,31,4,6,4,2,5,3,2,0,0,0,0,0,0,82,60,40,20,13,132,0,0,0,0,0,132,95,17,78,4,0,4,0,304,386,75,3,40,22,8,2,5,1,4,3,83,15,5,0,0,5,18,9,4,5,38
Sep-08,Great Southern District,0,0,0,0,0,16,9,7,3,3,0,18,10,8,31,10,19,2,4,3,1,14,8,6,0,0,0,3,0,3,89,70,29,41,7,166,0,0,0,0,4,162,116,11,105,4,0,4,0,363,452,83,2,36,30,14,1,3,2,1,7,93,5,14,3,0,11,43,38,5,0,62
Oct-08,Great Southern District,1,0,0,1,0,7,6,1,9,9,0,22,6,16,34,12,20,2,1,1,0,8,6,2,0,0,0,3,0,3,85,76,38,38,16,154,0,0,0,0,2,152,124,16,108,1,0,1,0,371,456,84,4,31,33,15,1,9,5,4,6,99,17,5,0,0,5,5,3,2,0,27
Nov-08,Great Southern District,0,0,0,0,0,41,18,23,10,10,0,29,10,19,48,13,30,5,0,0,0,4,1,3,1,0,1,2,0,2,135,101,52,49,7,138,0,0,0,0,2,136,128,17,111,4,0,4,0,378,513,68,7,26,25,10,0,9,1,8,29,106,28,4,0,0,4,8,4,1,3,40
Dec-08,Great Southern District,1,1,0,0,0,7,6,1,8,6,2,21,6,15,28,12,15,1,3,2,1,7,2,5,0,0,0,0,0,0,75,81,43,38,20,143,0,0,0,0,0,143,113,17,96,6,3,3,0,363,438,110,7,44,38,14,7,1,0,1,9,120,18,15,0,0,15,19,10,5,4,52
Jan-09,Great Southern District,0,0,0,0,0,8,6,2,5,5,0,25,4,21,60,16,27,17,9,5,4,9,4,5,0,0,0,2,0,2,118,79,44,35,12,141,0,0,0,0,0,141,126,13,113,11,2,9,0,369,487,95,5,39,30,21,0,10,3,7,15,120,21,4,0,0,4,20,7,7,6,45
