Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Apr-08,Cannington District,0,0,0,0,0,21,16,5,1,1,0,41,13,28,76,23,49,4,5,4,1,18,13,5,1,1,0,21,3,18,184,409,282,127,71,770,0,0,0,0,3,767,348,21,327,6,0,6,0,1604,1788,94,9,63,21,1,0,19,12,7,14,127,52,43,1,0,42,56,39,13,4,151
May-08,Cannington District,2,0,0,0,2,13,9,4,3,3,0,47,14,33,83,28,51,4,4,3,1,28,10,18,3,0,3,25,1,24,208,437,328,109,82,893,0,0,0,0,5,888,361,26,335,6,0,6,0,1779,1987,163,25,90,41,7,0,31,27,4,26,220,64,183,16,0,167,47,35,9,3,294
Jun-08,Cannington District,0,0,0,0,0,13,9,4,18,14,4,29,12,17,78,23,46,9,10,7,3,20,13,7,3,0,3,35,2,33,206,412,308,104,72,876,0,0,0,0,6,870,396,42,354,6,0,6,0,1762,1968,127,11,76,33,6,1,21,15,6,24,172,50,128,2,0,126,34,23,8,3,212
Jul-08,Cannington District,0,0,0,0,0,13,11,2,1,1,0,41,17,24,92,38,48,6,5,5,0,18,10,8,3,0,3,24,5,19,197,398,289,109,64,785,0,0,0,0,4,781,300,42,258,5,0,5,0,1552,1749,139,16,91,28,4,0,13,9,4,18,170,41,60,0,0,60,56,47,7,2,157
Aug-08,Cannington District,0,0,0,0,0,10,8,2,7,7,0,39,13,26,83,20,54,9,6,5,1,19,10,9,7,0,7,36,3,33,207,435,341,94,73,743,0,0,0,0,2,741,263,28,235,10,2,8,0,1524,1731,110,4,69,31,5,1,43,8,35,33,186,29,43,0,0,43,51,43,7,1,123
Sep-08,Cannington District,2,0,0,0,2,9,5,4,4,2,2,33,6,27,88,23,59,6,8,6,2,20,11,9,5,0,5,23,1,22,192,373,271,102,67,710,0,0,0,0,10,700,300,22,278,5,0,5,0,1455,1647,115,6,78,28,3,0,30,25,5,16,161,35,44,1,0,43,38,28,2,8,117
Oct-08,Cannington District,1,0,0,0,1,28,12,16,19,19,0,43,17,26,80,29,46,5,10,8,2,18,9,9,2,0,2,14,1,13,215,438,343,95,68,772,0,0,0,0,4,768,389,32,357,19,0,19,0,1686,1901,161,17,100,39,5,0,20,14,6,9,190,64,49,0,0,49,39,32,4,3,152
Nov-08,Cannington District,2,0,0,0,2,27,16,11,1,1,0,42,15,27,84,21,60,3,2,2,0,24,12,12,6,1,5,27,2,25,215,375,266,109,68,667,0,0,0,0,5,662,327,25,302,11,0,11,0,1448,1663,137,16,81,35,5,0,11,8,3,19,167,62,37,1,0,36,28,17,7,4,127
Dec-08,Cannington District,0,0,0,0,0,5,3,2,18,1,17,64,19,45,82,36,42,4,9,9,0,24,14,10,6,0,6,29,4,25,237,405,307,98,67,567,0,0,0,0,6,561,358,41,317,5,0,5,0,1402,1639,151,9,100,40,2,0,47,45,2,15,213,59,70,4,0,66,91,77,6,8,220
Jan-09,Cannington District,2,1,0,0,1,16,10,6,13,13,0,77,24,53,113,40,58,15,11,9,2,24,17,7,7,0,7,26,6,20,289,439,327,112,72,652,0,0,0,0,5,647,364,39,325,10,2,8,0,1537,1826,134,12,74,38,10,0,23,20,3,10,167,45,64,0,0,64,47,28,13,6,156
