Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Mar-08,Goldfields Esperance District,1,1,0,0,0,14,14,0,6,6,0,48,17,31,69,24,38,7,10,5,5,10,4,6,3,0,3,5,0,5,166,107,62,45,18,189,0,0,0,0,1,188,145,19,126,6,2,4,0,465,631,62,2,27,19,12,2,10,3,7,19,91,12,12,0,0,12,12,4,3,5,36
Apr-08,Goldfields Esperance District,1,0,0,0,1,28,26,2,14,14,0,50,25,25,49,19,25,5,1,0,1,12,7,5,0,0,0,4,0,4,159,104,68,36,21,195,0,0,0,0,3,192,113,15,98,5,1,4,0,438,597,85,5,44,24,5,7,15,10,5,14,114,9,17,0,0,17,6,2,2,2,32
May-08,Goldfields Esperance District,0,0,0,0,0,10,6,4,1,1,0,53,19,34,79,22,43,14,5,2,3,6,3,3,0,0,0,2,0,2,156,99,69,30,21,203,0,0,0,0,2,201,112,20,92,4,0,4,0,439,595,103,7,56,31,4,5,12,5,7,14,129,23,49,2,0,47,20,7,5,8,92
Jun-08,Goldfields Esperance District,2,0,0,0,2,10,4,6,11,11,0,48,22,26,61,19,27,15,6,4,2,9,4,5,2,0,2,8,3,5,157,94,57,37,13,205,0,0,0,0,9,196,130,17,113,9,0,9,0,451,608,63,6,34,19,3,1,14,3,11,10,87,10,83,0,0,83,14,5,3,6,107
Jul-08,Goldfields Esperance District,0,0,0,0,0,4,4,0,11,11,0,41,15,26,58,25,24,9,6,4,2,5,1,4,3,0,3,2,2,0,130,73,49,24,15,184,0,0,0,0,2,182,150,25,125,10,0,10,0,432,562,128,5,34,46,1,42,7,3,4,6,141,17,141,1,0,140,15,5,6,4,173
Aug-08,Goldfields Esperance District,0,0,0,0,0,13,3,10,0,0,0,58,32,26,75,20,36,19,9,4,5,11,4,7,0,0,0,2,0,2,168,106,65,41,13,185,0,0,0,0,2,183,114,16,98,2,0,2,0,420,588,81,2,35,29,2,13,11,6,5,5,97,8,35,0,0,35,26,20,4,2,69
Sep-08,Goldfields Esperance District,0,0,0,0,0,19,9,10,2,2,0,51,31,20,72,30,31,11,3,3,0,11,5,6,1,0,1,1,0,1,160,137,95,42,17,184,0,0,0,0,3,181,131,24,107,7,0,7,0,476,636,58,0,29,24,2,3,4,1,3,8,70,12,10,0,0,10,21,9,7,5,43
Oct-08,Goldfields Esperance District,0,0,0,0,0,6,4,2,3,3,0,74,36,38,62,26,29,7,11,5,6,23,7,16,0,0,0,0,0,0,179,104,75,29,18,181,0,0,0,0,3,178,153,31,122,2,0,2,0,458,637,67,3,37,18,2,7,9,5,4,7,83,31,4,1,0,3,19,11,4,4,54
Nov-08,Goldfields Esperance District,0,0,0,0,0,12,9,3,0,0,0,50,19,31,69,24,34,11,6,3,3,8,4,4,2,0,2,2,1,1,149,104,69,35,7,185,0,0,0,0,3,182,119,22,97,2,0,2,0,417,566,71,6,26,23,3,13,10,7,3,6,87,12,24,0,0,24,26,21,2,3,62
Dec-08,Goldfields Esperance District,0,0,0,0,0,9,8,1,1,1,0,53,22,31,76,32,32,12,10,4,6,7,3,4,1,1,0,2,0,2,159,97,73,24,11,158,0,0,0,0,3,155,128,19,109,7,3,4,0,401,560,97,8,38,35,4,12,19,9,10,11,127,15,11,0,0,11,30,15,6,9,56
