Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Apr-08,Kimberley District,0,0,0,0,0,16,13,3,25,23,2,65,35,30,40,14,24,2,3,2,1,5,2,3,2,0,2,3,0,3,159,68,40,28,23,128,0,0,0,0,1,127,67,9,58,2,0,2,0,288,447,27,5,9,11,1,1,4,2,2,2,33,8,3,0,0,3,26,15,5,6,37
May-08,Kimberley District,0,0,0,0,0,11,11,0,6,6,0,72,35,37,43,19,22,2,7,4,3,8,4,4,2,1,1,0,0,0,149,57,30,27,19,108,0,0,0,0,6,102,69,9,60,13,8,5,0,266,415,33,2,18,13,0,0,4,1,3,4,41,11,7,0,0,7,39,31,5,3,57
Jun-08,Kimberley District,1,1,0,0,0,4,4,0,6,6,0,69,31,38,53,21,20,12,6,4,2,5,3,2,0,0,0,1,0,1,145,74,46,28,12,126,0,0,0,0,1,125,95,19,76,5,1,4,0,312,457,53,10,25,17,0,1,1,1,0,14,68,5,1,0,0,1,22,15,6,1,28
Jul-08,Kimberley District,1,1,0,0,0,8,6,2,2,2,0,61,34,27,41,12,26,3,1,0,1,10,7,3,1,0,1,2,0,2,127,57,33,24,11,111,0,0,0,0,5,106,99,18,81,13,6,7,0,291,418,61,8,28,24,1,0,4,4,0,6,71,8,28,18,0,10,13,10,1,2,49
Aug-08,Kimberley District,0,0,0,0,0,10,8,2,1,1,0,67,32,35,56,17,28,11,5,2,3,12,6,6,1,0,1,1,0,1,153,48,22,26,24,95,0,0,0,0,1,94,79,10,69,6,4,2,0,252,405,41,4,19,18,0,0,4,3,1,3,48,2,8,0,0,8,8,3,2,3,18
Sep-08,Kimberley District,2,2,0,0,0,8,8,0,109,109,0,94,44,50,62,23,23,16,9,7,2,20,11,9,2,0,2,0,0,0,306,75,44,31,17,117,0,0,0,0,1,116,86,18,68,12,4,8,0,307,613,39,3,22,13,1,0,4,1,3,7,50,8,11,1,0,10,22,15,3,4,41
Oct-08,Kimberley District,0,0,0,0,0,12,12,0,0,0,0,99,53,46,48,18,28,2,7,5,2,8,7,1,0,0,0,3,0,3,177,103,66,37,34,157,0,0,0,0,3,154,95,21,74,5,3,2,0,394,571,35,4,9,15,3,4,8,4,4,4,47,6,0,0,0,0,32,23,4,5,38
Nov-08,Kimberley District,0,0,0,0,0,15,15,0,61,61,0,78,32,46,60,26,33,1,8,5,3,24,14,10,1,0,1,1,0,1,248,93,54,39,19,117,0,0,0,0,5,112,107,17,90,1,1,0,0,337,585,27,6,13,8,0,0,6,4,2,9,42,3,154,0,0,154,36,19,7,10,193
Dec-08,Kimberley District,1,0,0,1,0,12,11,1,5,5,0,90,45,45,54,18,28,8,8,5,3,19,10,9,4,4,0,2,0,2,195,107,66,41,31,76,0,0,0,0,0,76,97,11,86,4,0,4,0,315,510,51,12,21,18,0,0,4,1,3,10,65,8,2,1,0,1,20,13,3,4,30
Jan-09,Kimberley District,0,0,0,0,0,11,8,3,3,3,0,98,54,44,57,25,23,9,10,7,3,26,14,12,3,0,3,3,0,3,211,126,72,54,33,98,0,0,0,0,1,97,109,21,88,2,0,2,0,368,579,19,1,5,11,1,1,5,1,4,10,34,7,19,2,0,17,26,16,6,4,52
Feb-09,Kimberley District,1,1,0,0,0,11,11,0,2,1,1,72,46,26,59,19,29,11,5,3,2,14,3,11,2,0,2,1,0,1,167,142,98,44,29,93,0,0,0,0,1,92,116,11,105,4,0,4,0,384,551,9,0,7,2,0,0,3,1,2,5,17,25,2,0,0,2,17,10,5,2,44
Mar-09,Kimberley District,0,0,0,0,0,13,13,0,23,22,1,93,44,49,73,34,31,8,7,3,4,9,4,5,2,0,2,0,0,0,220,83,54,29,20,105,0,0,0,0,2,103,98,10,88,7,0,7,0,313,533,10,1,6,3,0,0,2,2,0,6,18,4,2,0,0,2,24,15,5,4,30
Apr-09,Kimberley District,0,0,0,0,0,15,15,0,1,1,0,73,41,32,38,11,23,4,9,7,2,7,4,3,3,0,3,1,0,1,147,102,63,39,32,122,0,0,0,0,0,122,76,5,71,8,2,6,0,340,487,19,3,7,9,0,0,3,2,1,2,24,4,3,0,0,3,15,6,4,5,22
May-09,Kimberley District,1,0,0,0,1,10,9,1,10,10,0,66,40,26,38,12,21,5,5,3,2,7,3,4,0,0,0,1,0,1,138,90,61,29,13,118,0,0,0,0,2,116,73,8,65,4,0,4,0,298,436,37,4,18,15,0,0,3,2,1,6,46,9,5,0,0,5,21,18,0,3,35
Jun-09,Kimberley District,0,0,0,0,0,3,3,0,8,8,0,48,29,19,31,13,18,0,8,5,3,9,4,5,3,0,3,1,0,1,111,101,72,29,14,112,0,0,0,0,1,111,70,11,59,10,2,8,0,307,418,34,3,16,15,0,0,5,1,4,6,45,2,4,0,0,4,19,7,7,5,25
Jul-09,Kimberley District,1,0,0,0,1,4,3,1,1,1,0,64,35,29,43,12,22,9,6,5,1,6,1,5,2,0,2,0,0,0,127,74,47,27,20,119,0,0,0,0,1,118,86,6,80,11,5,6,0,310,437,45,4,20,20,1,0,14,13,1,10,69,1,2,0,0,2,21,11,4,6,24
Aug-09,Kimberley District,0,0,0,0,0,10,9,1,0,0,0,68,39,29,43,17,25,1,4,2,2,4,1,3,5,0,5,1,0,1,135,63,42,21,22,106,0,0,0,0,1,105,67,11,56,4,0,4,0,262,397,32,4,16,10,2,0,8,5,3,1,41,2,1,0,0,1,21,12,4,5,24
Sep-09,Kimberley District,0,0,0,0,0,9,8,1,5,3,2,68,37,31,52,24,24,4,9,6,3,11,5,6,2,0,2,0,0,0,156,91,62,29,28,115,0,0,0,0,3,112,58,6,52,9,2,7,0,301,457,34,2,21,10,1,0,5,1,4,4,43,3,15,0,0,15,26,22,2,2,44
Oct-09,Kimberley District,1,0,0,0,1,9,9,0,11,11,0,103,47,56,51,20,26,5,10,5,5,14,8,6,2,0,2,1,0,1,202,106,71,35,41,125,0,0,0,0,0,125,96,12,84,11,7,4,0,379,581,43,2,14,25,2,0,7,5,2,3,53,6,4,0,0,4,21,9,5,7,31
Nov-09,Kimberley District,1,0,0,1,0,9,9,0,0,0,0,91,42,49,61,24,30,7,16,12,4,7,4,3,3,1,2,3,0,3,191,113,58,55,13,112,0,0,0,0,2,110,78,5,73,6,1,5,0,322,513,33,5,13,15,0,0,8,3,5,9,50,10,1,0,0,1,18,11,3,4,29
Dec-09,Kimberley District,0,0,0,0,0,13,13,0,6,6,0,81,41,40,56,20,32,4,14,11,3,9,5,4,5,0,5,2,0,2,186,126,79,47,20,111,0,0,0,0,4,107,78,10,68,1,0,1,0,336,522,36,2,19,14,1,0,9,4,5,3,48,5,1,0,0,1,20,9,4,7,26
Jan-10,Kimberley District,0,0,0,0,0,6,5,1,0,0,0,95,44,51,36,17,12,7,7,5,2,6,5,1,1,0,1,0,0,0,151,104,56,48,28,106,0,0,0,0,4,102,112,15,97,1,0,1,0,351,502,34,4,14,13,2,1,6,0,6,9,49,4,5,0,0,5,24,13,3,8,33
Feb-10,Kimberley District,1,1,0,0,0,11,9,2,1,1,0,72,33,39,44,12,25,7,4,3,1,6,5,1,2,0,2,1,0,1,142,91,42,49,37,98,0,0,0,0,1,97,82,11,71,3,0,3,0,311,453,33,1,8,20,3,1,6,1,5,11,50,5,1,0,0,1,45,37,1,7,51
Mar-10,Kimberley District,0,0,0,0,0,7,7,0,2,2,0,79,44,35,54,21,30,3,5,1,4,12,5,7,2,0,2,1,0,1,162,133,60,73,43,126,0,0,0,0,2,124,97,17,80,5,0,5,0,404,566,31,2,15,13,0,1,6,1,5,12,49,12,27,1,0,26,24,13,4,7,63
Apr-10,Kimberley District,1,0,0,0,1,9,8,1,3,3,0,64,30,34,49,19,25,5,4,2,2,6,3,3,2,0,2,1,0,1,139,133,83,50,21,108,0,0,0,0,2,106,79,8,71,4,1,3,0,345,484,41,1,16,21,1,2,4,1,3,4,49,5,4,0,0,4,21,11,3,7,30
May-10,Kimberley District,0,0,0,0,0,5,4,1,5,5,0,47,22,25,49,17,23,9,3,2,1,5,2,3,4,0,4,1,0,1,119,99,60,39,12,113,0,0,0,0,0,113,74,12,62,2,0,2,0,300,419,52,4,17,29,1,1,6,3,3,2,60,7,1,0,0,1,21,13,2,6,29
Jun-10,Kimberley District,0,0,0,0,0,2,2,0,0,0,0,69,27,42,35,15,15,5,5,2,3,3,0,3,0,0,0,2,0,2,116,61,40,21,27,133,0,0,0,0,0,133,102,6,96,3,1,2,0,326,442,38,1,18,17,2,0,2,0,2,7,47,7,4,0,0,4,21,13,1,7,32
Jul-10,Kimberley District,0,0,0,0,0,12,9,3,3,2,1,75,48,27,47,15,23,9,2,0,2,4,1,3,2,0,2,1,0,1,146,81,60,21,34,129,0,0,0,0,0,129,82,10,72,7,1,6,0,333,479,45,4,18,20,3,0,0,0,0,6,51,2,1,0,0,1,42,31,5,6,45
Aug-10,Kimberley District,0,0,0,0,0,6,4,2,1,1,0,77,27,50,55,16,33,6,4,1,3,12,7,5,1,0,1,4,0,4,160,63,40,23,17,123,0,0,0,0,1,122,81,15,66,7,2,5,0,291,451,43,1,23,18,1,0,2,0,2,7,52,4,0,0,0,0,24,13,0,11,28
Sep-10,Kimberley District,1,1,0,0,0,7,5,2,1,1,0,86,33,53,39,17,20,2,5,3,2,7,2,5,0,0,0,0,0,0,146,86,59,27,12,142,0,0,0,0,0,142,87,11,76,2,1,1,0,329,475,42,2,19,20,1,0,4,2,2,7,53,4,0,0,0,0,38,21,5,12,42
Oct-10,Kimberley District,0,0,0,0,0,10,9,1,2,2,0,80,40,40,50,19,24,7,5,4,1,8,2,6,3,0,3,0,0,0,158,118,79,39,29,138,0,0,0,0,3,135,92,12,80,6,0,6,0,383,541,47,6,21,20,0,0,8,7,1,5,60,9,4,0,0,4,26,13,5,8,39
Nov-10,Kimberley District,1,0,0,0,1,10,6,4,30,17,13,79,38,41,70,26,35,9,4,1,3,9,0,9,1,0,1,4,0,4,208,123,83,40,26,142,0,0,0,0,2,140,109,18,91,5,0,5,0,405,613,47,1,23,21,2,0,8,4,4,10,65,6,6,5,0,1,17,9,2,6,29
Dec-10,Kimberley District,1,0,0,1,0,24,16,8,0,0,0,89,42,47,56,18,29,9,5,3,2,4,0,4,2,0,2,1,0,1,182,84,52,32,35,89,0,0,0,0,1,88,104,15,89,2,0,2,0,314,496,25,2,9,13,0,1,4,2,2,5,34,0,1,1,0,0,37,25,5,7,38
Jan-11,Kimberley District,1,0,0,0,1,6,6,0,0,0,0,63,35,28,65,27,31,7,2,2,0,7,2,5,1,0,1,0,0,0,145,138,97,41,57,114,0,0,0,0,0,114,102,11,91,1,0,1,0,412,557,24,1,12,11,0,0,7,4,3,2,33,2,22,0,0,22,24,14,5,5,48
Feb-11,Kimberley District,1,0,0,1,0,1,1,0,3,3,0,72,31,41,33,10,19,4,3,3,0,4,1,3,0,0,0,2,0,2,119,87,49,38,20,75,0,0,0,0,0,75,77,11,66,2,0,2,0,261,380,10,0,5,5,0,0,7,2,5,2,19,3,15,0,0,15,39,31,3,5,57
Mar-11,Kimberley District,0,0,0,0,0,4,3,1,3,3,0,60,25,35,52,14,30,8,13,8,5,9,5,4,1,0,1,3,0,3,145,123,67,56,24,88,0,0,0,0,1,87,80,11,69,2,0,2,0,317,462,42,3,19,20,0,0,4,1,3,6,52,12,1,0,0,1,28,17,2,9,41
Apr-11,Kimberley District,0,0,0,0,0,11,10,1,0,0,0,66,25,41,40,14,20,6,5,3,2,4,3,1,3,0,3,4,0,4,133,157,86,71,28,99,0,0,0,0,1,98,93,14,79,1,0,1,0,378,511,23,1,13,9,0,0,8,4,4,5,36,4,0,0,0,0,30,23,3,4,34
May-11,Kimberley District,1,0,0,0,1,4,3,1,1,1,0,55,27,28,39,13,19,7,2,1,1,3,2,1,0,0,0,0,0,0,105,103,66,37,14,107,0,0,0,0,0,107,64,9,55,6,2,4,0,294,399,35,2,19,14,0,0,3,0,3,3,41,4,11,0,0,11,24,19,0,5,39
Jun-11,Kimberley District,0,0,0,0,0,6,6,0,0,0,0,56,18,38,46,10,28,8,3,3,0,11,4,7,2,2,0,3,0,3,127,77,60,17,23,105,0,0,0,0,0,105,87,10,77,6,3,3,0,298,425,69,8,26,29,3,3,3,2,1,9,81,4,7,0,0,7,22,14,4,4,33
Jul-11,Kimberley District,0,0,0,0,0,5,5,0,0,0,0,65,35,30,39,12,19,8,2,1,1,5,2,3,2,0,2,3,0,3,121,54,39,15,24,105,0,0,0,0,0,105,80,5,75,7,5,2,0,270,391,39,0,21,17,1,0,5,1,4,0,44,3,7,3,0,4,22,12,3,7,32
Aug-11,Kimberley District,2,0,0,0,2,3,2,1,2,2,0,61,31,30,35,9,25,1,3,2,1,10,3,7,3,0,3,0,0,0,119,71,55,16,16,73,0,0,0,0,0,73,89,10,79,3,1,2,0,252,371,56,7,27,20,1,1,1,1,0,12,69,4,5,0,0,5,33,25,1,7,42
Sep-11,Kimberley District,0,0,0,0,0,7,7,0,2,2,0,63,32,31,40,12,24,4,6,2,4,8,3,5,4,0,4,2,0,2,132,91,71,20,16,102,0,0,0,0,1,101,70,16,54,13,5,8,0,292,424,49,7,23,18,0,1,4,3,1,4,57,3,3,1,0,2,31,24,0,7,37
