Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Damage by Fire,Cause Bushfire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Cultivate or Manufacture Drugs,Drug Possession,Possession of Drug Paraphernalia,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Sep-15,Western Australia,3,0,0,0,3,239,158,81,159,153,6,1612,283,1329,912,305,543,64,235,182,53,246,109,137,16,0,16,110,31,79,3532,2981,2204,777,687,7266,0,0,0,0,23,7243,2817,503,2314,100,83,12,5,13851,17383,2908,415,70,1400,1019,4,417,387,30,357,3682,136,2311,29,0,2282,770,497,89,184,3217
Oct-15,Western Australia,10,4,3,0,3,228,181,47,167,149,18,1663,297,1366,966,317,565,84,201,142,59,322,133,189,22,5,17,110,21,89,3689,3270,2450,820,767,8130,0,0,0,0,29,8101,3131,563,2568,113,89,23,1,15411,19100,2496,186,68,1326,911,5,331,283,48,352,3179,171,2356,18,0,2338,970,649,101,220,3497
Nov-15,Western Australia,8,1,1,1,5,258,180,78,183,117,66,1740,310,1430,1131,379,679,73,221,172,49,287,130,157,28,2,26,99,17,82,3955,3095,2371,724,644,8374,0,0,0,0,26,8348,3176,577,2599,87,64,23,0,15376,19331,2958,524,70,1374,911,79,344,291,53,357,3659,165,1988,14,0,1974,803,466,105,232,2956
Dec-15,Western Australia,12,2,2,0,8,286,208,78,154,135,19,1948,365,1583,1052,340,635,77,201,153,48,276,127,149,27,2,25,116,16,100,4072,3308,2543,765,756,7944,0,0,0,0,21,7923,3213,609,2604,157,89,56,12,15378,19450,2582,243,69,1366,895,9,328,290,38,347,3257,436,2195,7,0,2188,903,553,86,264,3534
Jan-16,Western Australia,7,4,0,1,2,242,186,56,125,114,11,2070,295,1775,1004,351,570,83,290,232,58,269,123,146,30,5,25,106,11,95,4143,3534,2678,856,880,8316,0,0,0,0,32,8284,3251,626,2625,100,75,16,9,16081,20224,2332,229,66,1220,806,11,409,359,50,321,3062,142,1822,4,0,1818,940,618,102,220,2904
Feb-16,Western Australia,7,2,3,0,2,267,194,73,410,123,287,1825,294,1531,1062,325,669,68,265,204,61,340,153,187,22,2,20,94,14,80,4292,2894,2093,801,726,7950,0,0,0,0,28,7922,2999,572,2427,94,71,16,7,14663,18955,2770,357,98,1334,965,16,385,346,39,416,3571,132,1746,12,0,1734,905,626,89,190,2783
Mar-16,Western Australia,5,2,1,0,2,299,212,87,149,124,25,1935,327,1608,1149,396,673,80,263,203,60,333,135,198,20,0,20,127,20,107,4280,3257,2374,883,798,7483,0,0,0,0,22,7461,3055,572,2483,103,76,19,8,14696,18976,3250,346,116,1621,1145,22,456,410,46,506,4212,170,1697,12,0,1685,1170,742,121,307,3037
Apr-16,Western Australia,9,5,1,2,1,575,299,276,202,164,38,1673,293,1380,941,326,539,76,230,188,42,253,118,135,22,3,19,106,12,94,4011,3060,2261,799,687,7137,0,0,0,0,27,7110,2917,565,2352,79,71,7,1,13880,17891,2835,260,69,1434,1055,17,400,362,38,400,3635,127,1820,11,0,1809,894,595,114,185,2841
May-16,Western Australia,9,3,2,0,4,211,161,50,166,157,9,1680,286,1394,915,272,571,72,257,186,71,299,122,177,29,4,25,126,20,106,3692,3347,2424,923,706,7786,0,0,0,0,26,7760,2769,563,2206,71,66,4,1,14679,18371,3313,303,58,1779,1158,15,476,391,85,407,4196,132,1406,11,0,1395,979,644,137,198,2517
Jun-16,Western Australia,4,1,2,1,0,256,174,82,236,209,27,1552,283,1269,1000,335,597,68,195,158,37,245,109,136,20,2,18,146,28,118,3654,3060,2257,803,626,7218,0,0,0,0,22,7196,2890,593,2297,69,65,4,0,13863,17517,3075,287,64,1569,1130,25,443,382,61,408,3926,211,1525,7,0,1518,1026,757,78,191,2762
Jul-16,Western Australia,9,3,1,0,5,219,167,52,128,104,24,1588,267,1321,834,284,469,81,239,189,50,333,131,202,24,1,23,103,14,89,3477,2852,2095,757,610,6678,0,0,0,0,28,6650,2575,534,2041,60,57,3,0,12775,16252,3184,263,57,1703,1150,11,403,372,31,483,4070,155,974,23,0,951,1060,674,81,305,2189
Aug-16,Western Australia,8,1,2,2,3,291,191,100,203,171,32,1565,287,1278,939,298,557,84,253,203,50,267,113,154,18,4,14,119,14,105,3663,2962,2184,778,624,6912,0,0,0,0,26,6886,2915,585,2330,59,58,1,0,13472,17135,3343,263,77,1754,1217,32,417,360,57,431,4191,121,1148,10,0,1138,874,580,107,187,2143
Sep-16,Western Australia,11,3,1,4,3,240,159,81,123,117,6,1600,268,1332,867,284,514,69,231,175,56,269,126,143,33,3,30,114,16,98,3488,2925,2150,775,653,7092,0,0,0,0,18,7074,2828,562,2266,92,86,4,2,13590,17078,3038,263,55,1598,1105,17,541,496,45,399,3978,193,1266,17,0,1249,841,525,113,203,2300
Oct-16,Western Australia,9,5,3,0,1,271,191,80,173,159,14,1697,314,1383,1015,326,612,77,285,211,74,300,123,177,21,0,21,123,23,100,3894,3189,2359,830,774,7400,0,0,0,0,17,7383,3082,671,2411,95,83,10,2,14540,18434,2732,241,65,1393,1024,9,422,378,44,441,3595,197,1803,36,0,1767,835,538,91,206,2835
Nov-16,Western Australia,10,5,4,0,1,283,203,80,259,239,20,1910,350,1560,1138,373,664,101,327,251,76,298,146,152,25,0,25,128,14,114,4378,3034,2280,754,734,7640,0,0,0,0,15,7625,3099,630,2469,97,73,18,6,14604,18982,3271,439,99,1596,1113,24,424,370,54,408,4103,149,1171,30,0,1141,1050,711,98,241,2370
Dec-16,Western Australia,12,2,2,4,4,236,181,55,132,118,14,2003,397,1606,1183,394,661,128,316,244,72,330,148,182,34,2,32,107,14,93,4353,3137,2309,828,692,6855,0,0,0,0,15,6840,3095,676,2419,121,84,31,6,13900,18253,2789,255,65,1442,1017,10,361,310,51,402,3552,140,1056,30,0,1026,1171,827,109,235,2367
Jan-17,Western Australia,11,2,1,2,6,305,224,81,178,171,7,1827,334,1493,1095,384,613,98,252,200,52,309,138,171,28,2,26,128,17,111,4133,3550,2763,787,798,7808,0,0,0,0,19,7789,3403,675,2728,130,97,16,17,15689,19822,2685,362,75,1278,949,21,464,407,57,422,3571,116,1074,29,0,1045,1309,944,97,268,2499
Feb-17,Western Australia,8,2,2,0,4,494,347,147,173,159,14,1625,314,1311,1016,338,606,72,228,164,64,256,128,128,25,4,21,99,15,84,3924,2805,2099,706,650,7004,0,0,0,0,23,6981,2757,556,2201,81,49,20,12,13297,17221,2489,212,87,1265,910,15,426,381,45,341,3256,224,1273,13,0,1260,839,577,71,191,2336
Mar-17,Western Australia,8,2,1,2,3,301,216,85,232,212,20,1574,305,1269,1064,337,641,86,272,209,63,372,195,177,14,2,12,112,17,95,3949,2810,2114,696,646,7367,0,0,0,0,21,7346,2993,606,2387,89,73,15,1,13905,17854,3058,290,90,1562,1104,12,424,365,59,451,3933,162,1449,29,0,1420,1088,788,100,200,2699
Apr-17,Western Australia,9,4,0,1,4,250,183,67,163,141,22,1599,294,1305,1067,392,594,81,216,160,56,301,156,145,33,3,30,106,14,92,3744,2446,1850,596,540,6534,0,0,0,0,18,6516,2729,568,2161,84,70,10,4,12333,16077,2653,207,54,1447,931,14,348,309,39,386,3387,154,928,22,0,906,718,439,91,188,1800
May-17,Western Australia,3,1,0,1,1,339,271,68,221,201,20,1426,246,1180,1088,361,625,102,203,156,47,268,132,136,17,0,17,119,17,102,3684,2838,2211,627,609,7422,0,0,0,0,21,7401,2510,497,2013,74,60,11,3,13453,17137,2636,200,55,1428,931,22,359,317,42,304,3299,175,1317,34,9,1274,796,517,95,184,2288
Jun-17,Western Australia,10,2,1,1,6,223,160,63,187,162,25,1347,230,1117,1014,340,589,85,166,124,42,262,124,138,20,2,18,87,14,73,3316,3033,2319,714,664,6847,1519,811,1189,2040,21,1267,2282,439,1843,80,75,2,3,12906,16222,2727,239,52,1457,970,9,563,526,37,437,3727,168,1656,27,753,876,723,444,106,173,2547
Jul-17,Western Australia,7,3,1,0,3,275,192,83,261,191,70,1427,260,1167,802,241,490,71,212,162,50,220,112,108,23,1,22,89,11,78,3316,2594,1917,677,557,6525,2231,1097,1166,2009,22,0,2376,504,1872,60,59,0,1,12112,15428,2687,300,76,1339,930,42,321,294,27,317,3325,133,2352,21,1770,561,933,654,91,188,3418
Aug-17,Western Australia,3,1,0,1,1,398,271,127,139,128,11,1499,262,1237,994,348,584,62,221,169,52,274,130,144,20,3,17,101,16,85,3649,2590,2088,502,560,6657,2341,1190,1115,1987,24,0,2339,511,1828,67,61,4,2,12213,15862,2990,279,92,1508,1082,29,368,332,36,441,3799,145,2284,28,1935,321,845,583,74,188,3274
Sep-17,Western Australia,7,2,0,1,4,290,210,80,214,198,16,1504,262,1242,1000,341,580,79,204,154,50,300,116,184,28,3,25,136,10,126,3683,2552,2022,530,579,6435,2203,1183,1108,1917,24,0,2456,525,1931,64,57,5,2,12086,15769,2529,222,61,1323,884,39,387,339,48,340,3256,120,2299,47,1948,304,738,483,61,194,3157
Oct-17,Western Australia,3,0,0,0,3,254,187,67,176,164,12,1692,303,1389,1001,347,592,62,195,154,41,284,116,168,23,2,21,98,8,90,3726,2915,2319,596,576,6995,2411,1215,1331,2016,22,0,2720,592,2128,85,76,7,2,13291,17017,2718,238,75,1381,975,49,373,328,45,368,3459,144,2449,16,2125,308,1040,783,84,173,3633
Nov-17,Western Australia,8,2,2,0,4,288,204,84,240,225,15,1674,288,1386,1163,383,690,90,228,154,74,311,136,175,22,1,21,99,16,83,4033,2827,2163,664,535,6649,2063,1154,1274,2131,27,0,2556,540,2016,95,71,18,6,12662,16695,2761,364,51,1355,940,51,424,393,31,364,3549,124,2537,29,2234,274,785,538,80,167,3446
Dec-17,Western Australia,23,5,5,3,10,305,219,86,119,102,17,1859,331,1528,1112,385,623,104,251,186,65,327,144,183,12,1,11,81,7,74,4089,2948,2293,655,632,6647,2092,1174,1307,2057,17,0,2670,592,2078,120,59,55,6,13017,17106,2294,172,62,1228,796,36,353,312,41,278,2925,139,2223,16,1915,292,906,579,74,253,3268
Jan-18,Western Australia,5,4,0,1,0,461,351,110,126,114,12,1808,344,1464,1054,385,579,90,273,190,83,313,148,165,16,1,15,109,6,103,4165,3157,2398,759,667,7433,2395,1264,1364,2379,31,0,2699,592,2107,114,59,47,8,14070,18235,2454,176,91,1259,888,40,371,308,63,360,3185,139,2711,14,2471,226,1054,693,90,271,3904
Feb-18,Western Australia,3,2,1,0,0,348,277,71,254,228,26,1520,265,1255,1031,325,616,90,226,170,56,309,144,165,22,1,21,87,5,82,3800,2699,2113,586,578,7287,2444,1242,1283,2284,34,0,2332,486,1846,136,65,63,8,13032,16832,2609,339,89,1269,878,34,422,369,53,334,3365,192,2680,14,2414,252,916,610,109,197,3788
Mar-18,Western Australia,4,2,0,0,2,320,239,81,173,163,10,1717,349,1368,1124,383,645,96,240,184,56,343,157,186,22,2,20,107,13,94,4050,2599,1958,641,701,7494,2505,1302,1328,2327,32,0,2523,589,1934,95,60,28,7,13412,17462,3056,484,97,1386,987,102,544,500,44,356,3956,179,3125,10,2654,461,860,580,68,212,4164
Apr-18,Western Australia,9,1,1,1,6,309,240,69,268,164,104,1481,268,1213,964,348,547,69,210,164,46,251,110,141,18,1,17,118,12,106,3628,2610,1944,666,572,6918,2205,1273,1294,2129,17,0,2254,472,1782,66,50,15,1,12420,16048,2752,312,75,1354,984,27,426,384,42,341,3519,168,2428,19,2141,268,905,624,68,213,3501
May-18,Western Australia,16,8,5,0,3,288,215,73,253,237,16,1335,274,1061,977,322,588,67,181,140,41,281,140,141,35,0,35,129,18,111,3495,2553,1914,639,542,7351,2423,1397,1191,2302,38,0,2187,457,1730,57,47,8,2,12690,16185,2777,288,72,1368,1009,40,359,318,41,365,3501,131,2967,14,2633,320,1230,961,87,182,4328
Jun-18,Western Australia,6,0,1,1,4,325,241,84,256,250,6,1407,279,1128,872,292,519,61,201,144,57,317,139,178,22,0,22,100,9,91,3506,2675,1964,711,498,7478,2938,1436,1132,1957,15,0,2124,445,1679,66,55,7,4,12841,16347,3130,330,74,1565,1106,55,401,375,26,435,3966,127,2562,14,2327,221,821,572,72,177,3510
Jul-18,Western Australia,11,5,2,2,2,300,184,116,139,132,7,1368,251,1117,821,296,454,71,194,150,44,233,113,120,26,1,25,92,11,81,3184,2315,1763,552,512,7093,2832,1326,1079,1833,23,0,2143,459,1684,57,55,2,0,12120,15304,2528,227,40,1348,889,24,379,358,21,307,3214,106,2301,16,1893,392,768,535,47,186,3175
Aug-18,Western Australia,13,1,1,2,9,249,188,61,175,160,15,1494,250,1244,961,323,554,84,200,146,54,269,124,145,25,0,25,80,4,76,3466,2452,1859,593,494,7261,2772,1320,1176,1963,30,0,2173,483,1690,63,57,3,3,12443,15909,3072,261,68,1572,1114,57,407,369,38,415,3894,126,2315,14,2085,216,876,605,72,199,3317
Sep-18,Western Australia,14,7,2,1,4,289,201,88,197,193,4,1622,307,1315,916,322,511,83,189,150,39,240,113,127,28,3,25,125,15,110,3620,2390,1810,580,519,6806,2292,1400,1131,1966,17,0,2198,489,1709,89,66,19,4,12002,15622,2756,250,70,1421,977,38,377,330,47,449,3582,136,2295,5,2066,224,994,677,85,232,3425
Oct-18,Western Australia,5,2,1,0,2,357,257,100,160,145,15,1572,302,1270,1018,366,577,75,212,169,43,324,147,177,18,1,17,119,14,105,3785,2879,2146,733,629,8018,2683,1577,1341,2398,19,0,2493,477,2016,59,54,5,0,14078,17863,2847,424,74,1316,933,100,454,414,40,488,3789,149,2908,22,2450,436,835,598,53,184,3892
Nov-18,Western Australia,7,2,2,0,3,380,258,122,144,129,15,1616,313,1303,1057,366,611,80,243,180,63,270,123,147,27,0,27,118,14,104,3862,2791,2062,729,634,7407,2230,1565,1331,2265,16,0,2398,471,1927,78,61,12,5,13308,17170,2572,235,85,1288,914,50,402,364,38,561,3535,159,3391,20,3084,287,951,707,58,186,4501
Dec-18,Western Australia,9,4,1,0,4,304,227,77,134,119,15,1936,382,1554,1130,388,634,108,291,213,78,265,136,129,24,0,24,120,11,109,4213,2621,2046,575,614,7038,2241,1526,1271,1981,19,0,2536,441,2095,98,67,24,7,12907,17120,2330,156,74,1251,801,48,319,292,27,379,3028,108,3001,17,2721,263,1021,704,68,249,4130
Jan-19,Western Australia,5,0,0,1,4,330,240,90,156,151,5,1838,366,1472,1078,417,572,89,242,190,52,310,128,182,22,1,21,141,29,112,4122,2968,2270,698,656,7493,2241,1633,1397,2205,17,0,2543,487,2056,97,71,24,2,13757,17879,2378,271,92,1179,787,49,435,384,51,440,3253,150,2941,25,2526,390,1025,694,67,264,4116
Feb-19,Western Australia,8,5,1,0,2,383,231,152,224,205,19,1572,306,1266,1028,357,591,80,213,162,51,254,114,140,24,0,24,107,10,97,3813,2431,1862,569,570,7110,2178,1600,1239,2069,24,0,2282,427,1855,87,66,20,1,12480,16293,2276,323,94,1058,742,59,375,340,35,334,2985,120,2434,11,1996,427,1109,839,65,205,3663
Mar-19,Western Australia,4,1,0,0,3,417,275,142,238,222,16,1772,337,1435,1108,371,646,91,239,186,53,295,134,161,11,1,10,121,13,108,4205,2736,2038,698,635,7448,2135,1836,1345,2109,23,0,2485,496,1989,97,79,14,4,13401,17606,2602,274,92,1253,914,69,428,404,24,395,3425,126,2528,4,2178,346,1190,871,83,236,3844
Apr-19,Western Australia,12,3,2,2,5,244,153,91,171,156,15,1604,327,1277,931,300,566,65,227,171,56,271,129,142,28,2,26,111,9,102,3599,2590,1890,700,641,7235,2281,1653,1275,2008,18,0,2298,441,1857,95,85,7,3,12859,16458,2436,225,87,1217,860,47,336,308,28,318,3090,111,1955,19,1717,219,957,682,68,207,3023
May-19,Western Australia,7,2,0,3,2,308,206,102,234,205,29,1529,308,1221,957,350,520,87,242,193,49,294,129,165,25,3,22,126,12,114,3722,2569,1868,701,619,8072,2460,1905,1336,2342,29,0,2289,474,1815,61,56,5,0,13610,17332,2846,218,74,1517,968,69,397,374,23,435,3678,157,2545,43,2115,387,850,603,62,185,3552
Jun-19,Western Australia,7,1,1,0,5,286,201,85,108,105,3,1410,268,1142,867,317,486,64,196,149,47,231,96,135,26,3,23,121,12,109,3252,2575,1879,696,540,7090,2444,1639,1129,1858,20,0,2068,393,1675,64,54,10,0,12337,15589,2349,211,62,1206,801,69,387,326,61,319,3055,118,2475,54,2131,290,903,670,59,174,3496
Jul-19,Western Australia,5,1,1,0,3,274,186,88,147,131,16,1492,304,1188,790,245,490,55,185,145,40,266,117,149,24,1,23,120,11,109,3303,2293,1775,518,488,7035,2188,1663,1216,1941,27,0,2121,403,1718,65,56,6,3,12002,15305,2511,240,37,1364,785,85,320,306,14,366,3197,166,2377,11,2076,290,856,624,51,181,3399
Aug-19,Western Australia,8,2,0,0,6,371,255,116,152,148,4,1576,302,1274,1094,336,686,72,288,217,71,278,106,172,32,5,27,138,16,122,3937,2455,1851,604,543,7610,2544,1777,1203,2065,21,0,2290,427,1863,53,46,4,3,12951,16888,2853,202,73,1515,985,78,432,413,19,470,3755,160,2622,43,2215,364,917,664,51,202,3699
Sep-19,Western Australia,5,2,1,1,1,300,219,81,142,129,13,1640,299,1341,1014,315,605,94,213,160,53,269,116,153,28,3,25,108,6,102,3719,2672,2051,621,653,7515,2530,1637,1189,2143,16,0,2311,492,1819,71,60,9,2,13222,16941,2444,238,78,1208,856,64,381,348,33,286,3111,175,2475,13,2272,190,894,637,74,183,3544
Oct-19,Western Australia,9,3,1,0,5,307,199,108,272,259,13,1718,358,1360,1006,340,586,80,235,174,61,274,131,143,12,1,11,162,15,147,3995,2841,2173,668,612,7985,2623,1852,1264,2230,16,0,2570,521,2049,93,79,10,4,14101,18096,2411,187,69,1251,839,65,366,340,26,344,3121,160,3120,13,2278,829,1067,780,82,205,4347
Nov-19,Western Australia,9,4,3,0,2,328,231,97,134,120,14,1763,378,1385,1121,373,643,105,278,202,76,282,139,143,22,1,21,149,16,133,4086,2785,2135,650,601,7633,2513,1621,1253,2229,17,0,2422,537,1885,84,56,26,2,13525,17611,2389,185,69,1276,796,63,364,338,26,309,3062,146,2975,6,2479,490,1012,717,70,225,4133
Dec-19,Western Australia,7,3,0,0,4,283,212,71,144,134,10,2108,420,1688,1214,418,709,87,274,196,78,270,130,140,37,3,34,109,9,100,4446,2939,2271,668,675,7423,2181,1801,1233,2193,15,0,2509,518,1991,126,67,46,13,13672,18118,2727,273,62,1493,811,88,331,305,26,315,3373,122,2634,11,2287,336,1126,831,61,234,3882
Jan-20,Western Australia,8,2,2,0,4,331,243,88,181,170,11,1977,397,1580,1100,397,611,92,314,233,81,305,128,177,38,6,32,146,19,127,4400,3053,2342,711,649,8107,2494,1911,1390,2297,15,0,2594,533,2061,121,60,46,15,14524,18924,2286,201,81,1151,778,75,381,358,23,316,2983,158,2785,8,2555,222,1046,735,69,242,3989
Feb-20,Western Australia,9,1,0,1,7,317,226,91,89,80,9,1912,406,1506,1126,410,647,69,242,195,47,307,145,162,19,1,18,107,10,97,4128,2594,2019,575,598,7345,2125,1748,1328,2135,9,0,2328,470,1858,88,43,41,4,12953,17081,2326,198,78,1153,813,84,313,298,15,293,2932,152,2583,11,2380,192,1006,722,76,208,3741
Mar-20,Western Australia,10,2,4,0,4,385,252,133,231,216,15,2096,408,1688,1026,355,588,83,312,241,71,306,136,170,22,2,20,139,15,124,4527,2376,1656,720,562,7062,2158,1618,1293,1975,18,0,2492,512,1980,146,84,58,4,12638,17165,2415,299,92,1162,762,100,425,382,43,268,3108,133,2500,11,2213,276,1256,963,61,232,3889
Apr-20,Western Australia,7,6,1,0,0,274,201,73,166,161,5,1739,297,1442,754,244,423,87,265,208,57,276,123,153,17,0,17,96,12,84,3594,1419,1027,392,366,4377,1180,1046,976,1159,16,0,1948,464,1484,60,50,4,6,8170,11764,2761,294,61,1430,871,105,361,344,17,304,3426,162,1762,15,1469,278,1170,845,97,228,3094
May-20,Western Australia,10,3,1,2,4,526,283,243,260,182,78,1732,320,1412,916,350,475,91,268,206,62,292,141,151,17,3,14,108,14,94,4129,1229,946,283,309,3824,889,1003,813,1111,8,0,1850,461,1389,82,63,14,5,7294,11423,3375,335,79,1681,1112,168,348,323,25,380,4103,162,1510,28,1159,323,1099,751,129,219,2771
Jun-20,Western Australia,9,2,2,0,5,1090,248,842,170,156,14,1675,309,1366,995,363,542,90,240,198,42,221,110,111,19,1,18,75,12,63,4494,1222,937,285,304,3880,1109,965,740,1059,7,0,1910,412,1498,61,54,7,0,7377,11871,2747,206,74,1440,915,112,269,261,8,300,3316,195,1437,19,1165,253,806,483,103,220,2438
Jul-20,Western Australia,11,3,1,2,5,383,263,120,189,179,10,1713,336,1377,1051,393,574,84,252,203,49,256,105,151,23,2,21,70,4,66,3948,1199,920,279,314,3991,1106,973,699,1202,11,0,1856,441,1415,65,56,3,6,7425,11373,2771,428,64,1267,895,117,260,255,5,298,3329,157,1329,7,1128,194,987,643,123,221,2473
Aug-20,Western Australia,11,1,7,0,3,341,259,82,288,279,9,1794,340,1454,1197,457,638,102,253,194,59,265,135,130,21,0,21,98,5,93,4268,1000,788,212,284,3298,724,965,594,1009,6,0,1958,454,1504,67,64,1,2,6607,10875,2329,264,72,1151,762,80,211,198,13,271,2811,162,1464,13,1214,237,958,626,125,207,2584
Sep-20,Western Australia,9,2,2,0,5,360,284,76,190,180,10,1819,359,1460,1111,391,625,95,327,253,74,232,106,126,32,0,32,78,2,76,4158,1172,904,268,366,3790,1058,898,752,1066,16,0,1955,435,1520,68,56,7,5,7351,11509,2255,169,70,1146,794,76,211,202,9,279,2745,147,1486,4,1164,318,866,531,115,220,2499
Oct-20,Western Australia,4,0,1,0,3,368,269,99,149,143,6,2113,448,1665,1123,426,612,85,295,226,69,289,142,147,31,1,30,128,15,113,4500,1489,1130,359,423,4341,1214,1062,849,1200,16,0,2211,495,1716,58,48,7,3,8522,13022,2001,166,63,992,728,52,200,185,15,283,2484,148,1732,7,1488,237,986,656,88,242,2866
Nov-20,Western Australia,10,2,2,3,3,369,271,98,170,154,16,2068,504,1564,1080,377,592,111,319,250,69,245,111,134,20,3,17,97,9,88,4378,1787,1314,473,428,4498,1288,1110,806,1285,9,0,2144,455,1689,73,61,8,4,8930,13308,2177,520,65,883,639,70,204,193,11,227,2608,152,2023,4,1803,216,828,526,100,202,3003
Dec-20,Western Australia,4,1,1,0,2,295,218,77,88,78,10,2295,538,1757,1052,418,554,80,316,231,85,268,116,152,33,2,31,124,5,119,4475,1826,1428,398,503,4874,1413,1088,892,1477,4,0,2235,464,1771,76,51,22,3,9514,13989,1975,188,86,955,671,75,241,233,8,300,2516,131,2839,7,2558,274,971,608,111,252,3941
