Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Apr-08,Perth District,0,0,0,0,0,16,10,6,2,2,0,14,4,10,172,59,93,20,1,0,1,34,20,14,2,0,2,18,1,17,259,206,115,91,42,1038,0,0,0,0,5,1033,327,47,280,4,0,4,0,1617,1876,134,16,83,33,1,1,13,11,2,16,163,171,133,11,0,122,16,7,4,5,320
May-08,Perth District,0,0,0,0,0,17,11,6,16,15,1,15,8,7,161,66,74,21,3,1,2,24,9,15,2,0,2,25,1,24,263,212,126,86,48,952,0,0,0,0,11,941,258,34,224,4,0,4,0,1474,1737,178,12,121,41,4,0,37,20,17,16,231,262,117,0,0,117,21,14,6,1,400
Jun-08,Perth District,1,0,0,0,1,16,13,3,6,5,1,20,9,11,143,63,64,16,0,0,0,23,7,16,2,0,2,32,1,31,243,213,123,90,52,1005,0,0,0,0,7,998,282,26,256,5,0,5,0,1557,1800,139,11,99,29,0,0,28,23,5,12,179,313,129,7,0,122,22,17,4,1,464
Jul-08,Perth District,0,0,0,0,0,18,11,7,4,4,0,17,3,14,143,63,61,19,0,0,0,24,7,17,2,0,2,30,2,28,238,174,103,71,47,861,0,0,0,0,3,858,252,39,213,0,0,0,0,1334,1572,163,16,100,45,2,0,25,20,5,19,207,525,93,2,0,91,13,9,1,3,631
Aug-08,Perth District,1,0,0,0,1,25,22,3,3,3,0,8,5,3,192,74,88,30,0,0,0,28,15,13,2,0,2,37,2,35,296,190,132,58,45,859,0,0,0,0,5,854,260,42,218,3,0,3,0,1357,1653,179,66,80,33,0,0,22,14,8,23,224,518,112,1,0,111,14,10,1,3,644
Sep-08,Perth District,1,1,0,0,0,16,8,8,11,11,0,10,3,7,162,66,69,27,4,2,2,20,12,8,4,0,4,25,0,25,253,163,96,67,25,822,0,0,0,0,6,816,241,30,211,2,0,2,0,1253,1506,147,13,101,32,1,0,35,26,9,19,201,339,152,0,0,152,12,5,4,3,503
Oct-08,Perth District,0,0,0,0,0,10,8,2,11,8,3,25,10,15,181,74,72,35,3,2,1,24,9,15,0,0,0,16,0,16,270,167,92,75,32,864,0,0,0,0,11,853,265,46,219,3,0,3,0,1331,1601,143,11,98,32,2,0,27,25,2,23,193,362,114,0,0,114,15,7,3,5,491
Nov-08,Perth District,1,1,0,0,0,9,7,2,3,3,0,21,8,13,156,58,67,31,3,3,0,16,4,12,2,0,2,32,3,29,243,164,100,64,39,769,0,0,0,0,3,766,224,26,198,4,1,3,0,1200,1443,143,11,109,22,0,1,18,15,3,15,176,129,57,0,0,57,43,34,8,1,229
Dec-08,Perth District,0,0,0,0,0,22,21,1,1,1,0,24,4,20,172,79,69,24,4,3,1,15,0,15,1,1,0,25,2,23,264,166,96,70,28,722,0,0,0,0,3,719,241,25,216,5,1,4,0,1162,1426,134,7,97,28,1,1,13,11,2,17,164,492,143,4,0,139,25,16,7,2,660
Jan-09,Perth District,0,0,0,0,0,11,11,0,4,4,0,41,17,24,205,87,80,38,9,8,1,25,13,12,6,0,6,36,5,31,337,186,133,53,49,734,0,0,0,0,5,729,257,48,209,9,1,8,0,1235,1572,257,14,190,49,4,0,24,23,1,19,300,256,111,1,0,110,11,5,2,4,378
Feb-09,Perth District,2,1,0,0,1,10,9,1,11,11,0,27,11,16,148,68,64,16,4,4,0,26,17,9,3,1,2,22,1,21,253,210,135,75,47,721,0,0,0,0,3,718,240,33,207,9,2,7,0,1227,1480,172,17,126,27,2,0,19,15,4,15,206,170,176,23,0,153,147,139,3,5,493
Mar-09,Perth District,0,0,0,0,0,48,28,20,11,9,2,35,12,23,183,65,95,23,4,4,0,31,14,17,2,0,2,32,1,31,346,223,142,81,44,881,0,0,0,0,6,875,298,37,261,12,0,12,0,1458,1804,101,5,67,26,3,0,25,15,10,14,140,508,83,2,0,81,30,17,10,3,621
Apr-09,Perth District,0,0,0,0,0,15,11,4,8,7,1,19,4,15,197,81,99,17,4,4,0,18,12,6,2,0,2,21,2,19,284,177,109,68,29,721,0,0,0,0,6,715,233,33,200,7,1,6,0,1167,1451,208,27,133,43,1,4,26,22,4,13,247,256,99,1,0,98,46,37,6,3,401
May-09,Perth District,0,0,0,0,0,16,10,6,64,61,3,26,9,17,174,80,73,21,7,6,1,22,11,11,1,0,1,22,2,20,332,183,97,86,41,651,0,0,0,0,4,647,222,30,192,9,0,9,0,1106,1438,180,13,110,54,2,1,25,25,0,16,221,41,265,3,0,262,14,10,4,0,320
Jun-09,Perth District,1,1,0,0,0,13,8,5,17,15,2,24,6,18,149,56,79,14,3,3,0,20,5,15,2,0,2,19,1,18,248,181,102,79,25,774,0,0,0,0,8,766,272,30,242,5,0,5,0,1257,1505,161,14,104,42,0,1,31,25,6,20,212,111,107,4,0,103,10,5,2,3,228
Jul-09,Perth District,1,0,0,0,1,41,12,29,9,7,2,34,10,24,194,76,107,11,4,4,0,26,14,12,1,0,1,18,0,18,328,163,99,64,26,704,0,0,0,0,4,700,267,41,226,6,0,6,0,1166,1494,159,16,99,42,2,0,30,26,4,10,199,108,76,1,0,75,17,7,5,5,201
Aug-09,Perth District,1,1,0,0,0,22,8,14,11,11,0,18,5,13,210,86,99,25,1,1,0,18,10,8,2,0,2,23,3,20,306,115,70,45,36,739,0,0,0,0,7,732,267,41,226,4,0,4,0,1161,1467,178,15,116,43,1,3,27,20,7,22,227,68,147,5,0,142,22,5,15,2,237
Sep-09,Perth District,0,0,0,0,0,21,15,6,10,10,0,10,1,9,172,55,96,21,4,4,0,34,15,19,1,0,1,12,2,10,264,129,83,46,37,719,0,0,0,0,6,713,214,22,192,8,0,8,0,1107,1371,155,13,106,34,1,1,90,16,74,21,266,37,60,1,0,59,13,5,8,0,110
Oct-09,Perth District,0,0,0,0,0,14,8,6,6,6,0,24,4,20,187,64,99,24,1,1,0,36,18,18,0,0,0,20,1,19,288,135,78,57,32,748,0,0,0,0,3,745,246,28,218,1,0,1,0,1162,1450,143,15,91,36,1,0,24,19,5,12,179,39,700,17,0,683,16,8,7,1,755
Nov-09,Perth District,1,0,0,0,1,14,10,4,3,2,1,34,3,31,158,57,85,16,0,0,0,32,14,18,2,1,1,20,5,15,264,124,66,58,23,675,0,0,0,0,7,668,198,25,173,2,0,2,0,1022,1286,138,7,88,38,4,1,30,21,9,15,183,46,107,2,0,105,16,7,6,3,169
Dec-09,Perth District,0,0,0,0,0,11,7,4,3,2,1,37,6,31,162,68,72,22,4,4,0,14,8,6,0,0,0,21,0,21,252,108,66,42,24,656,0,0,0,0,3,653,199,28,171,4,0,4,0,991,1243,96,6,69,19,2,0,19,13,6,11,126,41,103,0,0,103,27,14,6,7,171
Jan-10,Perth District,0,0,0,0,0,11,9,2,29,17,12,33,11,22,190,78,93,19,7,7,0,29,15,14,3,1,2,14,1,13,316,137,80,57,36,659,0,0,0,0,2,657,229,28,201,2,0,2,0,1063,1379,114,5,84,24,0,1,37,31,6,16,167,82,68,3,0,65,26,8,18,0,176
Feb-10,Perth District,0,0,0,0,0,29,11,18,18,11,7,24,8,16,157,56,85,16,4,4,0,24,12,12,1,0,1,11,1,10,268,84,50,34,20,661,0,0,0,0,4,657,197,26,171,3,0,3,0,965,1233,133,7,98,26,0,2,25,17,8,16,174,333,110,2,0,108,18,11,6,1,461
Mar-10,Perth District,0,0,0,0,0,14,11,3,50,43,7,31,14,17,149,47,88,14,3,3,0,24,13,11,0,0,0,14,4,10,285,105,68,37,21,670,0,0,0,0,6,664,187,20,167,3,0,3,0,986,1271,112,10,77,21,2,2,12,9,3,26,150,29,80,2,0,78,17,9,6,2,126
