Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Joondalup District,3,0,1,0,2,13,3,10,2,1,1,70,12,58,54,13,33,8,4,3,1,20,13,7,1,0,1,12,2,10,179,287,210,77,58,619,0,0,0,0,3,616,364,38,326,13,2,11,0,1341,1520,125,14,57,45,9,0,4,4,0,12,141,61,45,2,0,43,52,40,7,5,158
Feb-07,Joondalup District,1,0,0,0,1,11,8,3,24,24,0,57,18,39,78,22,50,6,5,5,0,22,12,10,4,1,3,8,5,3,210,235,163,72,42,542,0,0,0,0,1,541,308,21,287,13,5,8,0,1140,1350,96,7,48,32,8,1,20,17,3,8,124,61,64,1,0,63,63,44,14,5,188
Mar-07,Joondalup District,2,1,0,0,1,18,16,2,1,1,0,65,19,46,113,34,77,2,2,2,0,17,13,4,5,1,4,22,2,20,245,234,169,65,62,583,0,0,0,0,6,577,357,36,321,7,3,4,0,1243,1488,110,12,64,26,7,1,21,15,6,15,146,199,55,1,0,54,81,53,26,2,335
Apr-07,Joondalup District,0,0,0,0,0,14,14,0,7,6,1,53,9,44,89,32,54,3,3,3,0,16,10,6,2,0,2,18,5,13,202,235,142,93,42,531,0,0,0,0,0,531,350,42,308,5,0,5,0,1163,1365,103,9,50,30,12,2,10,5,5,23,136,85,33,1,0,32,44,30,11,3,162
May-07,Joondalup District,1,1,0,0,0,8,5,3,33,31,2,43,8,35,76,20,55,1,9,9,0,28,22,6,3,0,3,11,1,10,212,246,169,77,50,595,0,0,0,0,4,591,345,33,312,16,1,15,0,1252,1464,184,22,96,55,10,1,22,10,12,21,227,85,70,0,0,70,26,22,4,0,181
Jun-07,Joondalup District,0,0,0,0,0,9,6,3,13,7,6,47,4,43,111,36,64,11,4,2,2,24,8,16,0,0,0,11,3,8,219,233,150,83,42,557,0,0,0,0,5,552,318,33,285,8,0,8,0,1158,1377,192,18,113,53,8,0,17,13,4,18,227,77,58,1,0,57,61,39,20,2,196
Jul-07,Joondalup District,0,0,0,0,0,11,8,3,2,1,1,49,7,42,73,37,35,1,6,3,3,11,8,3,4,0,4,24,3,21,180,266,188,78,55,584,0,0,0,0,3,581,333,29,304,11,1,10,0,1249,1429,169,13,84,54,18,0,15,9,6,12,196,96,81,0,0,81,67,45,20,2,244
Aug-07,Joondalup District,2,0,0,0,2,11,10,1,8,8,0,55,5,50,77,22,52,3,4,4,0,24,17,7,3,0,3,12,2,10,196,264,164,100,54,644,0,0,0,0,1,643,351,32,319,5,0,5,0,1318,1514,141,11,75,42,12,1,23,8,15,10,174,103,47,0,0,47,51,39,9,3,201
Sep-07,Joondalup District,2,0,0,0,2,12,5,7,5,5,0,67,13,54,99,30,63,6,6,6,0,25,14,11,3,1,2,13,0,13,232,282,203,79,58,600,0,0,0,0,3,597,322,42,280,6,0,6,0,1268,1500,129,5,68,51,5,0,20,14,6,11,160,122,20,1,0,19,47,30,7,10,189
Oct-07,Joondalup District,0,0,0,0,0,7,4,3,4,4,0,57,6,51,73,22,48,3,7,6,1,17,8,9,3,1,2,14,0,14,182,308,216,92,64,641,0,0,0,0,2,639,353,52,301,5,0,5,0,1371,1553,108,8,60,32,8,0,12,11,1,16,136,165,68,1,0,67,41,26,8,7,274
