Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Apr-08,Wheatbelt District,0,0,0,0,0,3,0,3,0,0,0,19,0,19,23,7,15,1,2,1,1,11,8,3,2,0,2,1,0,1,61,75,39,36,11,86,0,0,0,0,2,84,82,10,72,5,0,5,0,259,320,35,3,19,11,2,0,4,2,2,5,44,12,2,1,0,1,10,5,5,0,24
May-08,Wheatbelt District,0,0,0,0,0,3,3,0,2,2,0,14,1,13,36,8,26,2,3,2,1,11,8,3,2,0,2,0,0,0,71,90,56,34,11,103,0,0,0,0,1,102,82,15,67,1,0,1,0,287,358,54,4,24,24,2,0,2,1,1,13,69,10,9,0,0,9,5,2,2,1,24
Jun-08,Wheatbelt District,0,0,0,0,0,1,1,0,65,64,1,11,3,8,25,5,20,0,3,2,1,8,6,2,1,0,1,0,0,0,114,68,33,35,10,101,0,0,0,0,3,98,80,8,72,2,0,2,0,261,375,36,1,16,16,2,1,3,0,3,5,44,15,7,0,0,7,6,1,3,2,28
Jul-08,Wheatbelt District,0,0,0,0,0,4,3,1,0,0,0,21,4,17,27,7,19,1,3,2,1,9,5,4,0,0,0,1,0,1,65,59,34,25,9,88,0,0,0,0,2,86,80,13,67,2,1,1,0,238,303,46,3,18,22,3,0,4,1,3,1,51,13,7,0,0,7,12,6,5,1,32
Aug-08,Wheatbelt District,0,0,0,0,0,6,6,0,1,1,0,12,5,7,35,8,24,3,0,0,0,9,6,3,0,0,0,5,2,3,68,60,30,30,20,116,0,0,0,0,1,115,77,16,61,2,0,2,0,275,343,48,4,30,10,4,0,1,0,1,4,53,23,8,1,0,7,6,4,2,0,37
Sep-08,Wheatbelt District,0,0,0,0,0,7,7,0,7,4,3,18,0,18,22,4,14,4,3,2,1,2,1,1,2,0,2,2,0,2,63,67,30,37,15,74,0,0,0,0,1,73,86,15,71,4,0,4,0,246,309,89,8,38,37,6,0,5,2,3,22,116,11,6,0,0,6,15,14,1,0,32
Oct-08,Wheatbelt District,0,0,0,0,0,6,5,1,1,1,0,21,4,17,32,6,25,1,1,1,0,11,6,5,0,0,0,0,0,0,72,92,52,40,9,96,0,0,0,0,1,95,88,16,72,5,2,3,0,290,362,54,4,27,19,3,1,3,1,2,10,67,9,5,0,0,5,4,4,0,0,18
Nov-08,Wheatbelt District,2,0,0,0,2,4,4,0,2,2,0,33,8,25,33,4,24,5,3,3,0,7,4,3,0,0,0,0,0,0,84,78,44,34,6,95,0,0,0,0,1,94,113,20,93,6,4,2,0,298,382,53,1,28,22,1,1,4,3,1,3,60,21,1,0,0,1,2,1,0,1,24
Dec-08,Wheatbelt District,0,0,0,0,0,5,4,1,0,0,0,29,7,22,29,11,16,2,4,4,0,10,7,3,0,0,0,1,0,1,78,48,34,14,6,81,0,0,0,0,3,78,107,15,92,2,0,2,0,244,322,32,1,17,11,3,0,2,1,1,8,42,18,11,0,0,11,7,4,3,0,36
Jan-09,Wheatbelt District,0,0,0,0,0,14,10,4,0,0,0,18,4,14,31,11,18,2,11,11,0,10,7,3,0,0,0,2,0,2,86,56,29,27,9,91,0,0,0,0,4,87,89,8,81,5,0,5,0,250,336,33,2,11,15,5,0,1,1,0,8,42,13,345,0,0,345,0,0,0,0,358
Feb-09,Wheatbelt District,0,0,0,0,0,3,3,0,2,2,0,29,6,23,32,8,22,2,2,2,0,11,9,2,0,0,0,1,1,0,80,68,32,36,12,95,0,0,0,0,0,95,111,21,90,9,0,9,0,295,375,41,2,17,18,4,0,0,0,0,3,44,25,4,0,0,4,17,12,4,1,46
Mar-09,Wheatbelt District,0,0,0,0,0,10,4,6,25,25,0,23,4,19,39,5,33,1,1,1,0,11,10,1,0,0,0,1,0,1,110,73,30,43,12,81,0,0,0,0,1,80,133,26,107,2,0,2,0,301,411,50,3,21,23,3,0,4,2,2,8,62,10,4,1,0,3,11,6,3,2,25
Apr-09,Wheatbelt District,0,0,0,0,0,4,4,0,1,0,1,22,4,18,26,7,15,4,7,6,1,13,11,2,1,0,1,3,0,3,77,71,36,35,8,67,0,0,0,0,3,64,93,14,79,2,0,2,0,241,318,40,6,14,17,2,1,1,0,1,4,45,9,11,0,0,11,8,6,2,0,28
May-09,Wheatbelt District,2,0,0,0,2,0,0,0,12,12,0,23,5,18,41,16,21,4,7,6,1,10,10,0,1,0,1,1,0,1,97,64,34,30,11,82,0,0,0,0,0,82,72,16,56,3,0,3,0,232,329,59,3,25,25,6,0,2,0,2,14,75,8,6,0,0,6,10,5,3,2,24
Jun-09,Wheatbelt District,2,0,0,0,2,3,1,2,10,10,0,22,7,15,21,6,14,1,3,2,1,10,6,4,2,1,1,0,0,0,73,37,14,23,2,67,0,0,0,0,2,65,83,20,63,2,0,2,0,191,264,70,5,32,27,6,0,2,2,0,6,78,10,7,0,0,7,4,3,0,1,21
Jul-09,Wheatbelt District,2,0,0,0,2,3,2,1,8,8,0,20,6,14,30,10,17,3,6,6,0,7,6,1,1,0,1,1,0,1,78,80,45,35,8,82,0,0,0,0,1,81,86,22,64,0,0,0,0,256,334,40,4,16,16,4,0,3,2,1,10,53,18,3,0,0,3,8,7,1,0,29
Aug-09,Wheatbelt District,0,0,0,0,0,4,3,1,16,16,0,12,4,8,34,8,22,4,2,1,1,14,13,1,0,0,0,0,0,0,82,40,22,18,5,55,0,0,0,0,0,55,76,11,65,1,0,1,0,177,259,73,4,29,36,4,0,4,3,1,19,96,12,4,0,0,4,57,49,8,0,73
Sep-09,Wheatbelt District,1,0,0,0,1,3,3,0,6,6,0,28,8,20,26,3,22,1,1,1,0,2,2,0,0,0,0,0,0,0,67,47,27,20,5,76,0,0,0,0,0,76,69,7,62,2,0,2,0,199,266,125,6,60,51,8,0,9,6,3,7,141,17,4,0,0,4,16,8,4,4,37
Oct-09,Wheatbelt District,0,0,0,0,0,5,3,2,2,2,0,33,5,28,29,12,16,1,4,4,0,22,19,3,1,0,1,0,0,0,96,53,37,16,9,83,0,0,0,0,0,83,97,20,77,0,0,0,0,242,338,62,1,32,25,4,0,3,1,2,3,68,46,2,0,0,2,7,2,4,1,55
Nov-09,Wheatbelt District,1,0,0,0,1,6,3,3,4,4,0,20,3,17,31,7,22,2,6,6,0,18,13,5,0,0,0,2,0,2,88,35,20,15,8,74,0,0,0,0,2,72,81,9,72,6,0,6,0,204,292,45,4,18,17,6,0,0,0,0,4,49,15,5,1,0,4,28,2,26,0,48
Dec-09,Wheatbelt District,0,0,0,0,0,3,2,1,0,0,0,25,3,22,34,10,22,2,5,4,1,12,12,0,1,0,1,0,0,0,80,44,34,10,10,79,0,0,0,0,1,78,65,13,52,5,2,3,0,203,283,56,3,22,23,8,0,1,1,0,4,61,25,6,0,0,6,30,25,2,3,61
Jan-10,Wheatbelt District,0,0,0,0,0,6,4,2,3,3,0,19,3,16,35,9,21,5,2,1,1,9,9,0,0,0,0,0,0,0,74,50,28,22,9,87,0,0,0,0,2,85,90,12,78,2,2,0,0,238,312,61,2,25,24,10,0,0,0,0,6,67,12,1,0,0,1,7,2,3,2,20
Feb-10,Wheatbelt District,0,0,0,0,0,3,2,1,9,9,0,30,13,17,43,15,28,0,4,4,0,11,9,2,0,0,0,1,0,1,101,36,16,20,9,68,0,0,0,0,0,68,74,21,53,4,3,1,0,191,292,45,4,16,19,6,0,0,0,0,1,46,9,13,0,0,13,12,7,2,3,34
Mar-10,Wheatbelt District,2,0,1,0,1,3,2,1,16,16,0,22,5,17,32,8,21,3,6,4,2,10,8,2,2,0,2,0,0,0,93,51,28,23,5,100,0,0,0,0,3,97,74,9,65,2,0,2,0,232,325,36,2,14,16,4,0,0,0,0,8,44,8,3,0,0,3,8,3,5,0,19
Apr-10,Wheatbelt District,0,0,0,0,0,3,3,0,15,15,0,18,5,13,26,9,14,3,3,3,0,3,3,0,0,0,0,0,0,0,68,44,21,23,7,82,0,0,0,0,1,81,89,17,72,1,0,1,0,223,291,30,0,9,21,0,0,4,0,4,5,39,3,2,0,0,2,12,6,4,2,17
May-10,Wheatbelt District,0,0,0,0,0,3,1,2,8,8,0,17,1,16,31,8,18,5,1,1,0,10,8,2,0,0,0,0,0,0,70,66,36,30,11,70,0,0,0,0,0,70,68,16,52,0,0,0,0,215,285,51,3,26,21,1,0,2,2,0,4,57,6,1,0,0,1,8,2,5,1,15
Jun-10,Wheatbelt District,0,0,0,0,0,11,7,4,2,2,0,19,8,11,35,10,24,1,1,0,1,16,11,5,0,0,0,4,2,2,88,41,20,21,7,76,0,0,0,0,1,75,76,12,64,2,0,2,0,202,290,72,6,24,34,8,0,2,1,1,4,78,4,3,1,0,2,26,10,12,4,33
