Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Mar-08,Mirrabooka District,0,0,0,0,0,19,5,14,7,5,2,63,13,50,93,23,65,5,6,5,1,34,22,12,1,0,1,16,3,13,239,377,269,108,63,694,0,0,0,0,5,689,337,38,299,7,1,6,0,1478,1717,145,13,85,46,1,0,30,17,13,35,210,87,114,0,0,114,73,34,32,7,274
Apr-08,Mirrabooka District,3,3,0,0,0,25,10,15,4,3,1,53,19,34,98,26,62,10,6,5,1,17,11,6,4,0,4,26,5,21,236,316,220,96,49,726,0,0,0,0,8,718,299,29,270,9,0,9,0,1399,1635,120,20,72,24,4,0,18,16,2,24,162,23,105,3,0,102,45,24,20,1,173
May-08,Mirrabooka District,0,0,0,0,0,8,5,3,14,14,0,50,11,39,101,33,65,3,8,6,2,27,17,10,7,1,6,30,3,27,245,380,282,98,62,788,0,0,0,0,3,785,334,28,306,8,0,8,0,1572,1817,132,12,80,38,2,0,32,24,8,18,182,422,70,1,0,69,36,18,11,7,528
Jun-08,Mirrabooka District,0,0,0,0,0,9,6,3,4,4,0,43,7,36,94,42,46,6,6,4,2,22,17,5,3,0,3,26,6,20,207,351,258,93,69,820,0,0,0,0,3,817,356,31,325,11,0,11,0,1607,1814,146,12,84,41,7,2,46,34,12,21,213,124,64,0,0,64,32,19,7,6,220
Jul-08,Mirrabooka District,1,0,0,0,1,11,10,1,20,20,0,40,20,20,104,38,60,6,6,6,0,38,25,13,2,0,2,11,0,11,233,330,247,83,64,780,0,0,0,0,8,772,304,40,264,12,1,11,0,1490,1723,169,20,87,53,8,1,54,34,20,24,247,138,78,0,0,78,42,22,17,3,258
Aug-08,Mirrabooka District,1,0,0,0,1,19,14,5,7,4,3,42,13,29,114,41,64,9,4,3,1,15,9,6,2,0,2,19,3,16,223,355,272,83,92,824,0,0,0,0,8,816,334,29,305,13,0,13,0,1618,1841,138,11,80,41,4,2,23,18,5,18,179,115,106,0,0,106,19,13,2,4,240
Sep-08,Mirrabooka District,0,0,0,0,0,11,5,6,4,3,1,62,16,46,99,31,62,6,4,3,1,24,11,13,5,0,5,19,1,18,228,319,249,70,69,762,0,0,0,0,3,759,310,31,279,16,0,16,0,1476,1704,133,12,85,33,3,0,52,43,9,16,201,111,136,0,0,136,30,19,7,4,277
Oct-08,Mirrabooka District,0,0,0,0,0,26,19,7,17,15,2,59,17,42,102,28,63,11,6,3,3,30,16,14,4,1,3,15,2,13,259,333,252,81,68,789,0,0,0,0,8,781,345,53,292,7,0,7,0,1542,1801,132,14,80,30,8,0,24,20,4,19,175,104,47,0,0,47,59,41,7,11,210
Nov-08,Mirrabooka District,0,0,0,0,0,29,27,2,9,8,1,85,22,63,122,35,85,2,5,4,1,24,11,13,3,0,3,23,4,19,300,328,219,109,69,751,0,0,0,0,8,743,328,48,280,15,0,15,0,1491,1791,124,8,72,34,10,0,20,15,5,24,168,123,55,4,0,51,53,37,10,6,231
Dec-08,Mirrabooka District,0,0,0,0,0,21,13,8,1,0,1,59,14,45,94,25,62,7,4,4,0,25,20,5,3,0,3,26,1,25,233,317,232,85,52,755,0,0,0,0,6,749,332,55,277,13,0,13,0,1469,1702,180,23,109,40,7,1,65,53,12,27,272,57,51,0,0,51,54,35,15,4,162
Jan-09,Mirrabooka District,1,1,0,0,0,26,15,11,2,2,0,69,31,38,116,32,75,9,12,10,2,25,14,11,6,2,4,20,3,17,277,423,313,110,68,850,0,0,0,0,5,845,370,60,310,17,2,15,0,1728,2005,162,21,84,45,12,0,39,29,10,14,215,65,40,3,0,37,48,26,19,3,153
Feb-09,Mirrabooka District,1,1,0,0,0,12,8,4,91,85,6,59,14,45,128,45,81,2,6,4,2,19,13,6,3,2,1,20,1,19,339,364,270,94,64,704,0,0,0,0,3,701,323,35,288,5,0,5,0,1460,1799,126,10,68,35,13,0,49,40,9,18,193,65,118,0,0,118,27,11,10,6,210
Mar-09,Mirrabooka District,2,0,1,0,1,14,7,7,6,6,0,71,26,45,120,39,73,8,8,6,2,25,16,9,3,0,3,30,3,27,279,433,317,116,63,704,0,0,0,0,6,698,377,68,309,6,0,6,0,1583,1862,145,19,77,36,13,0,16,14,2,18,179,195,54,2,0,52,48,32,12,4,297
Apr-09,Mirrabooka District,1,0,0,0,1,17,10,7,8,8,0,70,28,42,75,38,34,3,10,10,0,18,9,9,5,0,5,27,2,25,231,402,317,85,77,706,0,0,0,0,5,701,285,21,264,11,0,11,0,1481,1712,142,17,80,36,9,0,46,34,12,15,203,146,154,1,0,153,46,28,14,4,346
May-09,Mirrabooka District,1,0,1,0,0,23,11,12,12,12,0,46,15,31,116,42,69,5,13,11,2,30,12,18,3,0,3,19,2,17,263,366,294,72,58,661,0,0,0,0,2,659,296,46,250,11,0,11,0,1392,1655,99,9,60,25,5,0,26,18,8,8,133,58,125,13,0,112,61,51,9,1,244
Jun-09,Mirrabooka District,0,0,0,0,0,13,10,3,7,7,0,71,17,54,88,35,52,1,7,7,0,16,14,2,2,0,2,26,7,19,230,374,272,102,56,658,0,0,0,0,3,655,314,37,277,10,0,10,0,1412,1642,135,17,73,37,6,2,24,21,3,11,170,61,82,4,0,78,27,11,8,8,170
Jul-09,Mirrabooka District,1,0,1,0,0,16,12,4,8,8,0,78,19,59,88,37,47,4,10,8,2,15,10,5,1,0,1,18,1,17,235,248,180,68,35,550,0,0,0,0,5,545,304,39,265,12,1,11,0,1149,1384,145,20,73,46,4,2,58,54,4,15,218,70,102,4,0,98,46,25,5,16,218
Aug-09,Mirrabooka District,2,0,0,0,2,22,6,16,2,2,0,57,14,43,98,38,46,14,3,3,0,19,8,11,5,1,4,11,1,10,219,221,152,69,35,537,0,0,0,0,3,534,254,27,227,5,0,5,0,1052,1271,110,12,51,36,10,1,29,20,9,15,154,57,76,9,0,67,44,30,7,7,177
