Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Mar-08,Regional WA,3,2,0,0,1,96,80,16,65,60,5,242,92,150,427,136,248,43,33,21,12,61,28,33,7,0,7,14,2,12,948,782,387,395,144,1229,0,0,0,0,20,1209,1037,124,913,40,9,31,0,3232,4180,541,89,220,166,47,19,55,28,27,62,658,87,47,1,0,46,126,75,34,17,260
Apr-08,Regional WA,2,1,0,0,1,75,61,14,49,45,4,272,112,160,289,106,164,19,13,8,5,59,41,18,8,0,8,24,2,22,791,637,388,249,126,1213,0,0,0,0,17,1196,813,95,718,21,1,20,0,2810,3601,427,36,223,131,28,9,41,27,14,52,520,83,60,2,0,58,117,64,37,16,260
May-08,Regional WA,2,0,0,0,2,45,36,9,17,17,0,257,111,146,362,117,194,51,29,13,16,51,30,21,8,1,7,12,2,10,783,689,401,288,124,1341,0,0,0,0,17,1324,832,105,727,32,9,23,0,3018,3801,481,42,247,160,25,7,49,22,27,55,585,81,115,3,0,112,135,77,34,24,331
Jun-08,Regional WA,5,2,0,1,2,35,19,16,122,120,2,253,96,157,312,97,168,47,29,19,10,44,28,16,8,0,8,21,3,18,829,655,407,248,96,1257,0,0,0,0,23,1234,908,108,800,23,1,22,0,2939,3768,425,43,222,136,19,5,43,21,22,67,535,90,124,2,0,122,113,64,36,13,327
Jul-08,Regional WA,2,2,0,0,0,37,29,8,45,45,0,234,94,140,290,88,161,41,19,14,5,54,31,23,7,2,5,12,4,8,700,539,317,222,110,1160,0,0,0,0,17,1143,888,122,766,38,8,30,0,2735,3435,537,35,230,202,27,43,37,19,18,51,625,143,291,19,0,272,129,71,29,29,563
Aug-08,Regional WA,1,0,0,0,1,61,39,22,18,14,4,249,107,142,370,108,196,66,28,15,13,73,37,36,4,1,3,11,2,9,815,572,325,247,139,1235,0,0,0,0,7,1228,817,112,705,28,7,21,0,2791,3606,440,24,229,149,23,15,38,25,13,40,518,153,81,1,0,80,172,114,29,29,406
Sep-08,Regional WA,2,2,0,0,0,81,58,23,138,135,3,292,133,159,352,120,181,51,32,26,6,84,46,38,10,0,10,15,0,15,1006,713,423,290,133,1286,0,0,0,0,10,1276,967,141,826,54,4,50,0,3153,4159,471,34,227,166,33,11,35,16,19,70,576,173,78,4,0,74,173,112,46,15,424
Oct-08,Regional WA,2,0,0,1,1,54,44,10,23,23,0,332,146,186,336,118,190,28,27,19,8,80,54,26,2,0,2,18,4,14,874,746,452,294,142,1384,0,0,0,0,15,1369,1011,121,890,42,8,34,0,3325,4199,439,24,201,161,39,14,48,24,24,56,543,206,93,3,0,90,149,78,51,20,448
Nov-08,Regional WA,6,2,1,0,3,104,77,27,95,88,7,276,106,170,387,128,217,42,27,18,9,59,34,25,6,0,6,14,1,13,974,718,431,287,106,1250,0,0,0,0,13,1237,1005,134,871,30,8,22,0,3109,4083,413,33,201,133,29,17,43,21,22,93,549,183,224,1,0,223,164,90,33,41,571
Dec-08,Regional WA,4,1,0,1,2,57,51,6,38,35,3,334,133,201,359,136,168,55,45,28,17,89,52,37,9,5,4,12,0,12,947,587,390,197,129,1044,0,0,0,0,11,1033,899,107,792,46,9,37,0,2705,3652,538,57,234,154,71,22,41,20,21,70,649,159,108,3,0,105,156,83,33,40,423
Jan-09,Regional WA,1,0,0,1,0,59,41,18,65,65,0,358,156,202,392,140,177,75,52,42,10,88,55,33,16,0,16,16,1,15,1047,671,401,270,125,1174,0,0,0,0,14,1160,1062,139,923,58,13,45,0,3090,4137,347,17,144,122,48,16,43,23,20,63,453,172,399,3,0,396,191,123,27,41,762
Feb-09,Regional WA,8,4,0,0,4,67,60,7,24,23,1,280,116,164,382,122,190,70,22,16,6,95,60,35,6,2,4,11,3,8,895,644,399,245,113,1162,0,0,0,0,15,1147,977,125,852,41,7,34,0,2937,3832,496,69,182,145,95,5,49,29,20,41,586,138,131,1,0,130,127,66,42,19,396
Mar-09,Regional WA,1,0,0,0,1,69,55,14,97,94,3,311,127,184,396,131,226,39,21,13,8,78,45,33,6,2,4,11,2,9,990,646,370,276,141,1155,0,0,0,0,9,1146,1006,135,871,26,2,24,0,2974,3964,463,45,197,149,61,11,33,18,15,65,561,106,114,10,0,104,142,88,27,27,362
Apr-09,Regional WA,0,0,0,0,0,66,46,20,23,22,1,258,113,145,291,105,157,29,35,24,11,54,38,16,9,0,9,15,1,14,751,664,394,270,140,1139,0,0,0,0,16,1123,846,121,725,40,7,33,0,2829,3580,503,48,259,144,34,18,50,21,29,61,614,100,253,1,0,252,114,66,19,29,467
May-09,Regional WA,6,1,1,0,4,36,29,7,39,39,0,265,123,142,353,124,195,34,28,21,7,64,35,29,4,0,4,17,0,17,812,595,385,210,117,1130,0,0,0,0,17,1113,807,115,692,45,12,33,0,2694,3506,566,39,287,174,37,29,80,69,11,77,723,64,46,3,0,43,150,101,23,26,260
Jun-09,Regional WA,5,0,0,0,5,60,52,8,57,51,6,201,84,117,291,94,171,26,23,16,7,61,32,29,14,2,12,14,1,13,726,620,380,240,81,1179,0,0,0,0,15,1164,898,134,764,36,6,30,0,2814,3540,453,38,217,166,27,5,41,17,24,45,539,71,66,5,0,61,98,54,21,23,235
Jul-09,Regional WA,4,0,0,0,4,34,26,8,41,41,0,265,119,146,286,93,156,37,33,27,6,52,30,22,10,1,9,17,3,14,742,590,363,227,106,1147,0,0,0,0,14,1133,878,95,783,31,7,24,0,2752,3494,487,78,181,169,28,31,46,39,7,73,606,118,127,2,0,125,129,94,19,16,374
Aug-09,Regional WA,4,1,0,0,3,60,33,27,48,47,1,238,93,145,334,119,172,43,21,11,10,60,36,24,11,0,11,14,1,13,790,535,329,206,119,1112,0,0,0,0,8,1104,782,97,685,27,2,25,0,2575,3365,502,52,231,169,42,8,43,30,13,73,618,128,130,3,0,127,180,130,32,18,438
Sep-09,Regional WA,2,0,0,0,2,55,36,19,58,55,3,262,105,157,327,112,182,33,33,21,12,72,40,32,6,1,5,12,4,8,827,608,390,218,110,1046,0,0,0,0,10,1036,775,84,691,31,3,28,0,2570,3397,490,35,236,176,36,7,35,19,16,48,573,90,39,2,0,37,143,89,37,17,272
Oct-09,Regional WA,4,0,0,0,4,49,41,8,24,24,0,328,117,211,352,124,184,44,35,26,9,91,65,26,14,2,12,18,3,15,915,654,439,215,152,1158,0,0,0,0,8,1150,941,117,824,54,16,38,0,2959,3874,508,32,213,198,51,14,43,23,20,41,592,187,74,0,0,74,172,114,33,25,433
Nov-09,Regional WA,4,1,0,1,2,66,55,11,55,55,0,311,116,195,396,148,207,41,43,36,7,91,55,36,4,1,3,22,2,20,992,636,404,232,132,1207,0,0,0,0,14,1193,983,112,871,40,8,32,0,2998,3990,476,30,208,194,41,3,54,27,27,68,598,122,242,1,0,241,202,120,55,27,566
Dec-09,Regional WA,6,1,0,1,4,44,38,6,33,33,0,318,135,183,389,121,213,55,42,30,12,71,46,25,15,0,15,19,1,18,937,718,470,248,135,1117,0,0,0,0,17,1100,831,116,715,47,10,37,0,2848,3785,424,41,188,136,51,8,42,18,24,58,524,132,81,2,0,79,148,89,24,35,361
