Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Pilbara,0,0,0,0,0,4,4,0,3,3,0,53,11,42,39,5,27,7,2,2,0,1,1,0,1,0,1,2,0,2,105,90,53,37,27,150,0,0,0,0,4,146,143,4,139,8,4,4,0,418,523,7,1,4,2,0,0,5,3,2,12,24,10,11,0,0,11,7,6,0,1,28
Feb-07,Pilbara,0,0,0,0,0,4,4,0,0,0,0,50,15,35,46,14,27,5,1,0,1,8,5,3,0,0,0,3,0,3,112,70,34,36,11,119,0,0,0,0,3,116,110,0,110,3,2,1,0,313,425,20,4,10,6,0,0,0,0,0,7,27,3,0,0,0,0,9,4,3,2,12
Mar-07,Pilbara,0,0,0,0,0,6,6,0,0,0,0,46,9,37,43,14,27,2,1,1,0,2,2,0,1,0,1,0,0,0,99,61,27,34,8,111,0,0,0,0,1,110,104,3,101,5,0,5,0,289,388,18,4,6,8,0,0,2,2,0,2,22,12,17,2,0,15,9,6,2,1,38
Apr-07,Pilbara,0,0,0,0,0,12,10,2,2,2,0,42,20,22,40,12,22,6,1,1,0,1,1,0,2,0,2,0,0,0,100,58,37,21,17,138,0,0,0,0,5,133,82,13,69,8,1,7,0,303,403,19,3,12,3,1,0,5,1,4,3,27,12,1,0,0,1,7,6,1,0,20
May-07,Pilbara,0,0,0,0,0,7,7,0,7,5,2,44,19,25,35,11,19,5,1,0,1,1,0,1,2,0,2,0,0,0,97,52,31,21,11,135,0,0,0,0,4,131,106,8,98,6,2,4,0,310,407,35,5,21,9,0,0,2,2,0,2,39,11,3,0,0,3,5,3,0,2,19
Jun-07,Pilbara,1,0,0,1,0,5,4,1,8,8,0,35,19,16,50,14,30,6,3,2,1,5,3,2,1,0,1,2,0,2,110,62,43,19,18,131,0,0,0,0,1,130,97,8,89,9,0,9,0,317,427,47,10,21,15,1,0,4,4,0,5,56,7,4,0,0,4,7,5,0,2,18
Jul-07,Pilbara,0,0,0,0,0,5,5,0,2,2,0,36,13,23,40,10,26,4,1,0,1,6,3,3,2,0,2,2,0,2,94,74,45,29,14,122,0,0,0,0,2,120,104,6,98,7,1,6,0,321,415,26,1,12,13,0,0,2,2,0,0,28,3,10,0,0,10,11,4,3,4,24
Aug-07,Pilbara,0,0,0,0,0,2,2,0,0,0,0,45,16,29,45,14,26,5,2,1,1,4,1,3,1,0,1,3,0,3,102,60,45,15,17,126,0,0,0,0,1,125,107,12,95,13,3,10,0,323,425,50,2,27,12,9,0,0,0,0,1,51,7,14,0,0,14,14,9,0,5,35
Sep-07,Pilbara,0,0,0,0,0,7,7,0,0,0,0,39,16,23,58,18,33,7,1,1,0,2,1,1,1,0,1,1,0,1,109,72,51,21,24,130,0,0,0,0,0,130,92,9,83,20,1,19,0,338,447,8,1,4,3,0,0,0,0,0,1,9,5,5,0,0,5,17,14,2,1,27
Oct-07,Pilbara,0,0,0,0,0,6,5,1,6,5,1,28,11,17,40,13,24,3,1,1,0,4,1,3,0,0,0,2,1,1,87,81,56,25,47,134,0,0,0,0,2,132,108,18,90,8,2,6,0,378,465,30,3,16,10,0,1,2,0,2,4,36,5,2,0,0,2,9,6,1,2,16
