Month and Year,Area,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,
Jan-07,Mid West Gascoyne District,0,0,0,0,0,9,6,3,2,1,1,44,14,30,91,21,52,18,5,4,1,13,5,8,2,0,2,1,0,1,167,141,88,53,20,206,0,0,0,0,1,205,212,16,196,6,3,3,0,585,752,52,4,25,17,6,0,12,5,7,8,72,10,10,0,0,10,28,16,11,1,48
Feb-07,Mid West Gascoyne District,0,0,0,0,0,2,2,0,1,1,0,45,17,28,79,20,48,11,6,4,2,16,8,8,1,0,1,2,0,2,152,124,83,41,14,179,0,0,0,0,2,177,166,10,156,1,0,1,0,484,636,32,4,17,9,2,0,4,4,0,13,49,15,6,0,0,6,17,14,2,1,38
Mar-07,Mid West Gascoyne District,0,0,0,0,0,2,2,0,7,7,0,45,13,32,86,22,56,8,4,1,3,15,6,9,2,0,2,3,0,3,164,141,74,67,19,238,0,0,0,0,2,236,281,19,262,3,0,3,0,682,846,30,1,12,14,3,0,7,3,4,9,46,12,3,0,0,3,29,18,10,1,44
Apr-07,Mid West Gascoyne District,0,0,0,0,0,3,2,1,3,3,0,28,8,20,38,7,27,4,1,1,0,9,3,6,0,0,0,1,0,1,83,136,94,42,16,193,0,0,0,0,0,193,169,10,159,0,0,0,0,514,597,42,2,28,11,1,0,3,0,3,11,56,5,7,0,0,7,13,9,3,1,25
May-07,Mid West Gascoyne District,0,0,0,0,0,6,3,3,9,9,0,27,11,16,53,13,31,9,8,5,3,6,3,3,2,0,2,3,0,3,114,104,58,46,9,151,0,0,0,0,0,151,133,4,129,2,0,2,0,399,513,55,6,27,16,5,1,6,4,2,10,71,12,18,0,0,18,20,17,3,0,50
Jun-07,Mid West Gascoyne District,0,0,0,0,0,2,2,0,6,5,1,23,8,15,42,10,31,1,2,2,0,9,5,4,0,0,0,3,0,3,87,95,48,47,14,193,0,0,0,0,4,189,170,6,164,3,0,3,0,475,562,63,11,32,15,5,0,6,4,2,4,73,6,47,2,0,45,23,13,7,3,76
Jul-07,Mid West Gascoyne District,0,0,0,0,0,9,8,1,16,16,0,27,12,15,45,11,24,10,1,1,0,9,6,3,1,0,1,4,0,4,112,103,72,31,9,169,0,0,0,0,2,167,146,8,138,5,0,5,0,432,544,53,4,31,17,1,0,5,4,1,5,63,8,11,0,0,11,21,10,5,6,40
Aug-07,Mid West Gascoyne District,0,0,0,0,0,5,2,3,57,57,0,20,10,10,61,12,37,12,1,1,0,13,7,6,1,0,1,3,0,3,161,118,90,28,13,168,0,0,0,0,0,168,180,13,167,1,0,1,0,480,641,47,1,31,12,2,1,6,3,3,7,60,7,30,0,0,30,21,7,10,4,58
Sep-07,Mid West Gascoyne District,0,0,0,0,0,5,5,0,8,8,0,31,9,22,36,9,23,4,2,1,1,10,5,5,0,0,0,3,0,3,95,125,80,45,16,166,0,0,0,0,0,166,145,10,135,4,0,4,0,456,551,84,6,47,26,5,0,4,2,2,5,93,16,4,1,0,3,29,21,5,3,49
Oct-07,Mid West Gascoyne District,0,0,0,0,0,4,3,1,2,2,0,48,12,36,67,22,39,6,6,5,1,6,2,4,4,0,4,2,2,0,139,143,86,57,19,207,0,0,0,0,1,206,173,17,156,4,0,4,0,546,685,49,3,25,13,8,0,3,1,2,7,59,9,9,0,0,9,17,11,4,2,35
